#---------------------------- KTU 1.105 1
152697	bġb	bġb
152698	ršp	ršp
152699	mhbn	mhbn
152700	š	š
#---------------------------- KTU 1.105 2
152701	šrp	šrp
152702	w	w
152703	ṣp	ṣp
152704	ḫršḫ	ḫršḫ
#---------------------------- KTU 1.105 3
152705	ʿlm	ʿlm
152706	b	b
152707	ġb	ġb
152708	ḫyr	ḫyr
#---------------------------- KTU 1.105 4
152709	ṯmn	ṯmn
152710	lṯlṯm	lṯlṯm
152711	ṣin	ṣin
#---------------------------- KTU 1.105 5
152712	šbʿ	šbʿ
152713	alpm	alpm
#---------------------------- KTU 1.105 6
152714	bt	bt
152715	bʿl	bʿl
152716	ugrt	ugrt
152717	ṯn	ṯn
152718	šm	šm
#---------------------------- KTU 1.105 7
152719	ʿlm	ʿlm
152720	l	l
152721	ršp	ršp
152722	mlkx	mlkx
#---------------------------- KTU 1.105 8
152723	alp	alp
152724	wš	wš
152725	l	l
152726	bʿlt	bʿlt
#---------------------------- KTU 1.105 9
152727	bwtm	bwtm
152728	š	š
152729	iṯtqb	iṯtqb
#---------------------------- KTU 1.105 10
152730	w	w
152731	š	š
152732	nbkm	nbkm
152733	w	w
152734	š	š
#---------------------------- KTU 1.105 11
152735	gt	gt
152736	mlkš	mlkš
152737	ʿlm	ʿlm
#---------------------------- KTU 1.105 12
152738	l	l
152739	kṯr	kṯr
152740	ṯnšmʿlm	ṯnšmʿlm
#---------------------------- KTU 1.105 13
152741	tzġm	tzġm
152742	ṯn	ṯn
152743	šm	šm
152744	pr	pr
#---------------------------- KTU 1.105 14
152745	hzp	hzp
#---------------------------- KTU 1.105 15
152746	yrḫ	yrḫ
152747	ḫyr	ḫyr
152748	b	b
152749	ym	ym
152750	ḥdṯ	ḥdṯ
#---------------------------- KTU 1.105 16
152751	alp	alp
152752	w	w
152753	š	š
152754	l	l
152755	bʿlt	bʿlt
152756	bhtm	bhtm
#---------------------------- KTU 1.105 17
152757	b	b
152758	arbʿt	arbʿt
152759	ʿšrt	ʿšrt
152760	bʿl	bʿl
#---------------------------- KTU 1.105 18
152761	ʿrkm	ʿrkm
#---------------------------- KTU 1.105 19
152762	b	b
152763	ṯmnt	ṯmnt
152764	ʿšrt	ʿšrt
152765	yr	yr
#---------------------------- KTU 1.105 20
152766	tḥṣ	tḥṣ
152767	mlk	mlk
152768	brr	brr
#---------------------------- KTU 1.105 21
152769	ʿlm	ʿlm
152770	tzġ	tzġ
152771	b	b
152772	ġb	ġb
152773	ṣpn	ṣpn
#---------------------------- KTU 1.105 22
152774	nskt	nskt
152775	ksp	ksp
152776	w	w
152777	ḫrṣ	ḫrṣ
152778	ṯt	ṯt
152779	ṯn	ṯn
152780	šm	šm
152781	lbtbt	lbtbt
#---------------------------- KTU 1.105 23
152782	alp	alp
152783	w	w
152784	š	š
152785	šrp	šrp
152786	alp	alp
152787	šlmm	šlmm
#---------------------------- KTU 1.105 24
152788	l	l
152789	bʿl	bʿl
152790	ʿṣr	ʿṣr
152791	lṣpn	lṣpn
#---------------------------- KTU 1.105 25
152792	npš	npš
152793	wš	wš
152794	l	l
152795	ršp	ršp
152796	bbt	bbt
#---------------------------- KTU 1.105 26
152797	ʿṣrm	ʿṣrm
152798	linš	linš
152799	ilm	ilm
#---------------------------- KTU 1.105 27
152800	xxxxxxxxxxx	xxxxxxxxxxx
152801	dqth	dqth
