#---------------------------- KTU 2.58 1
158592	mx	mx
#---------------------------- KTU 2.58 2
158593	rgm	rgm
158594	ṯṯb	ṯṯb
#---------------------------- KTU 2.58 3
158595	x	x
158596	amr	amr
#---------------------------- KTU 2.58 4
158597	y	y
158598	gt	gt
#---------------------------- KTU 2.58 5
158599	xġ	xġ
158600	txxg	txxg
#---------------------------- KTU 2.58 6
158601		
158602		
#---------------------------- KTU 2.58 7
158603	p	p
158604	x	x
#---------------------------- KTU 2.58 8
158605	t	t
#---------------------------- KTU 2.58 9
158606	k	k
#---------------------------- KTU 2.58 10
158607	x	x
#---------------------------- KTU 2.58 11
158608		
