#---------------------------- KTU 1.18 I:1
145144	xxxxxxxxxxxxxxxxxxx	xxxxxxxxxxxxxxxxxxx
#---------------------------- KTU 1.18 I:2
145145	xxxxxxxxxxxxxxxxxxx	xxxxxxxxxxxxxxxxxxx
#---------------------------- KTU 1.18 I:3
145146	xxxxxxxxxxxxxxxxxxx	xxxxxxxxxxxxxxxxxxx
#---------------------------- KTU 1.18 I:4
145147	xxxxxh	xxxxxh
145148	aṯbr	aṯbr
145149	xxxxxxx	xxxxxxx
#---------------------------- KTU 1.18 I:5
145150	xxxxx	xxxxx
145151	abh	abh
145152	ap	ap
145153	qxxxxxxx	qxxxxxxx
#---------------------------- KTU 1.18 I:6
145154	xxxxxx	xxxxxx
145155	w	w
145156	tʿn	tʿn
145157	xxxxxxxx	xxxxxxxx
#---------------------------- KTU 1.18 I:7
145158	xxxxxxtk	xxxxxxtk
145159	y	y
145160	ilm	ilm
145161	xxxxxxxx	xxxxxxxx
#---------------------------- KTU 1.18 I:8
145162	xxxxxx	xxxxxx
145163	al	al
145164	tšmḫ	tšmḫ
145165	xxxxxxxxx	xxxxxxxxx
#---------------------------- KTU 1.18 I:9
145166	xxxxx	xxxxx
145167	aḫdhm	aḫdhm
145168	xxxxxxxxxx	xxxxxxxxxx
#---------------------------- KTU 1.18 I:10
145169	xxxx	xxxx
145170	bgdlt	bgdlt
145171	arkty	arkty
145172	xxxxx	xxxxx
#---------------------------- KTU 1.18 I:11
145173	x	x
145174	lqdqdk	lqdqdk
145175	ašhlk	ašhlk
145176	šbtk	šbtk
145177	dmm	dmm
#---------------------------- KTU 1.18 I:12
145178	šbt	šbt
145179	dqnk	dqnk
145180	mmʿm	mmʿm
145181	wxxxxxxx	wxxxxxxx
#---------------------------- KTU 1.18 I:13
145182	aqht	aqht
145183	w	w
145184	yplṭk	yplṭk
145185	bndnil	bndnil
145186	xxxx	xxxx
#---------------------------- KTU 1.18 I:14
145187	w	w
145188	yʿḏrk	yʿḏrk
145189	b	b
145190	yd	yd
145191	btlt	btlt
145192	ʿnt	ʿnt
145193	xxx	xxx
