#---------------------------- KTU 2.11 1
156596	l	l
156597	umy	umy
156598	adtny	adtny
#---------------------------- KTU 2.11 2
156599	rgm	rgm
#---------------------------- KTU 2.11 3
156600	tḥm	tḥm
156601	tlmyn	tlmyn
#---------------------------- KTU 2.11 4
156602	w	w
156603	aḫtmlk	aḫtmlk
156604	ʿbdk	ʿbdk
#---------------------------- KTU 2.11 5
156605	l	l
156606	pʿn	pʿn
156607	adtny	adtny
#---------------------------- KTU 2.11 6
156608	mrḥqtm	mrḥqtm
#---------------------------- KTU 2.11 7
156609	qlny	qlny
156610	ilm	ilm
#---------------------------- KTU 2.11 8
156611	tġrk	tġrk
#---------------------------- KTU 2.11 9
156612	tšlmk	tšlmk
#---------------------------- KTU 2.11 10
156613	hnny	hnny
156614	ʿmny	ʿmny
#---------------------------- KTU 2.11 11
156615	kll	kll
156616	mid	mid
#---------------------------- KTU 2.11 12
156617	šlm	šlm
#---------------------------- KTU 2.11 13
156618	w	w
156619	ap	ap
156620	ank	ank
#---------------------------- KTU 2.11 14
156621	nḫt	nḫt
156622	ṯmny	ṯmny
#---------------------------- KTU 2.11 15
156623	ʿm	ʿm
156624	adtny	adtny
#---------------------------- KTU 2.11 16
156625	mnm	mnm
156626	šlm	šlm
#---------------------------- KTU 2.11 17
156627	rgm	rgm
156628	ṯṯb	ṯṯb
#---------------------------- KTU 2.11 18
156629	l	l
156630	ʿbdk	ʿbdk
