#---------------------------- KTU 1.108 1
153210	hln	hln
153211	yšt	yšt
153212	rpu	rpu
153213	mlk	mlk
153214	ʿlm	ʿlm
153215	w	w
153216	yšt	yšt
#---------------------------- KTU 1.108 2
153217	ilgṯr	ilgṯr
153218	w	w
153219	yqr	yqr
153220	il	il
153221	yṯb	yṯb
153222	b	b
153223	ʿṯtrt	ʿṯtrt
#---------------------------- KTU 1.108 3
153224	il	il
153225	ṯpẓ	ṯpẓ
153226	b	b
153227	hdrʿy	hdrʿy
153228	d	d
153229	yšr	yšr
153230	w	w
153231	yḏmr	yḏmr
#---------------------------- KTU 1.108 4
153232	b	b
153233	knr	knr
153234	w	w
153235	ṯlb	ṯlb
153236	b	b
153237	tp	tp
153238	w	w
153239	mṣltm	mṣltm
153240	bm	bm
#---------------------------- KTU 1.108 5
153241	rqdm	rqdm
153242	d	d
153243	šn	šn
153244	b	b
153245	ḥbr	ḥbr
153246	kṯr	kṯr
153247	ẓbm	ẓbm
#---------------------------- KTU 1.108 6
153248	w	w
153249	tšt	tšt
153250	ʿnt	ʿnt
153251	gṯr	gṯr
153252	bʿlt	bʿlt
153253	mlk	mlk
153254	bʿ	bʿ
#---------------------------- KTU 1.108 7
153255	lt	lt
153256	drkt	drkt
153257	bʿlt	bʿlt
153258	šmm	šmm
153259	rmm	rmm
#---------------------------- KTU 1.108 8
153260	bʿlt	bʿlt
153261	kpṯ	kpṯ
153262	w	w
153263	ʿnt	ʿnt
153264	di	di
153265	dit	dit
153266	rḫpt	rḫpt
#---------------------------- KTU 1.108 9
153267	b	b
153268	šmm	šmm
153269	rmm	rmm
153270	aklt	aklt
153271	ʿglxl	ʿglxl
153272	mšt	mšt
#---------------------------- KTU 1.108 10
153273	ilt	ilt
153274	ḫmr	ḫmr
153275	špr	špr
153276	w	w
153277	yšt	yšt
153278	il	il
#---------------------------- KTU 1.108 11
153279	xxxxxxxn	xxxxxxxn
153280	il	il
153281	ġnṯ	ġnṯ
153282	ʿgl	ʿgl
153283	il	il
#---------------------------- KTU 1.108 12
153284	xxxxxxxxxd	xxxxxxxxxd
153285	il	il
153286	šdy	šdy
153287	ṣd	ṣd
153288	mlk	mlk
#---------------------------- KTU 1.108 13
153289	xxxxxxxxxḥ	xxxxxxxxxḥ
153290	yšt	yšt
153291	ilh	ilh
#---------------------------- KTU 1.108 14
153292	xxxxxxxxxxxh	xxxxxxxxxxxh
153293	iṯmh	iṯmh
#---------------------------- KTU 1.108 15
153294	xxxxxxxxxxxxx	xxxxxxxxxxxxx
153295	ršp	ršp
#---------------------------- KTU 1.108 16
153296	xxxxxxxxxxxxmġy	xxxxxxxxxxxxmġy
#---------------------------- KTU 1.108 17
153297	xxxxxxxxxxxdrh	xxxxxxxxxxxdrh
#---------------------------- KTU 1.108 18
153298	xxxxxxxxxxrš	xxxxxxxxxxrš
153299	l	l
153300	bʿl	bʿl
#---------------------------- KTU 1.108 19
153301	xxxxxx	xxxxxx
153302	ymġk	ymġk
153303	rpu	rpu
153304	mlk	mlk
#---------------------------- KTU 1.108 20
153305	ʿlm	ʿlm
153306	xxxxk	xxxxk
153307	l	l
153308	tštk	tštk
153309	l	l
153310	iršt	iršt
#---------------------------- KTU 1.108 21
153311	k	k
153312	bxxrpi	bxxrpi
153313	mlk	mlk
153314	ʿlm	ʿlm
153315	b	b
153316	ʿz	ʿz
#---------------------------- KTU 1.108 22
153317	rpi	rpi
153318	mlk	mlk
153319	ʿlm	ʿlm
153320	b	b
153321	ḏmrih	ḏmrih
153322	b	b
153323	l	l
#---------------------------- KTU 1.108 23
153324	anh	anh
153325	b	b
153326	ḥtkh	ḥtkh
153327	b	b
153328	nmrth	nmrth
153329	l	l
153330	r	r
#---------------------------- KTU 1.108 24
153331	pi	pi
153332	arṣ	arṣ
153333	ʿzk	ʿzk
153334	ḏmrk	ḏmrk
153335	la	la
#---------------------------- KTU 1.108 25
153336	nk	nk
153337	ḥtkk	ḥtkk
153338	nmrtk	nmrtk
153339	b	b
153340	tk	tk
#---------------------------- KTU 1.108 26
153341	ugrt	ugrt
153342	ṯlṯ	ṯlṯ
153343	ymt	ymt
153344	špš	špš
153345	w	w
153346	yrḫ	yrḫ
#---------------------------- KTU 1.108 27
153347	w	w
153348	nʿmt	nʿmt
153349	šnt	šnt
153350	il	il
