#---------------------------- KTU 1.83 1
150271	xxx	xxx
150272	xxr	xxr
150273	xxx	xxx
#---------------------------- KTU 1.83 2
150274	xxxxil	xxxxil
#---------------------------- KTU 1.83 3
150275	tṣun	tṣun
150276	b	b
150277	arṣ	arṣ
#---------------------------- KTU 1.83 4
150278	mḫnm	mḫnm
150279	ṯrp	ṯrp
150280	ym	ym
#---------------------------- KTU 1.83 5
150281	lšnm	lšnm
150282	tlhk	tlhk
#---------------------------- KTU 1.83 6
150283	šmm	šmm
150284	tṯrp	tṯrp
#---------------------------- KTU 1.83 7
150285	ym	ym
150286	ḏnbtm	ḏnbtm
#---------------------------- KTU 1.83 8
150287	tan	tan
150288	l	l
150289	šbm	šbm
#---------------------------- KTU 1.83 9
150290	tšt	tšt
150291	trks	trks
#---------------------------- KTU 1.83 10
150292	l	l
150293	mrym	mrym
150294	lbnt	lbnt
#---------------------------- KTU 1.83 11
150295	pl	pl
150296	tbʿn	tbʿn
150297	yymm	yymm
#---------------------------- KTU 1.83 12
150298	hmlt	hmlt
150299	ḫt	ḫt
150300	ynhr	ynhr
#---------------------------- KTU 1.83 13
150301	l	l
150302	tph	tph
150303	mk	mk
#---------------------------- KTU 1.83 14
150304	tḥm	tḥm
150305	rgm	rgm
#---------------------------- KTU 1.83 15
150306	mt	mt
#---------------------------- KTU 1.83 16
150307		
#---------------------------- KTU 1.83 17
150308	š	š
