#---------------------------- KTU 1.101 1
152181	bʿl	bʿl
152182	yṯb	yṯb
152183	k	k
152184	ṯbt	ṯbt
152185	ġr	ġr
152186	hd	hd
152187	k	k
#---------------------------- KTU 1.101 2
152188	k	k
152189	mdb	mdb
152190	b	b
152191	tk	tk
152192	ġrh	ġrh
152193	il	il
152194	ṣpn	ṣpn
152195	bġ	bġ
#---------------------------- KTU 1.101 3
152196	ġr	ġr
152197	tliyt	tliyt
152198	šbʿt	šbʿt
152199	brqm	brqm
152200	ṯ	ṯ
#---------------------------- KTU 1.101 4
152201	ṯmnt	ṯmnt
152202	iṣr	iṣr
152203	rʿt	rʿt
152204	ʿṣ	ʿṣ
152205	brq	brq
152206	yry	yry
#---------------------------- KTU 1.101 5
152207	rišh	rišh
152208	tply	tply
152209	ṭly	ṭly
152210	bn	bn
152211	ʿnh	ʿnh
#---------------------------- KTU 1.101 6
152212	uzʿrt	uzʿrt
152213	tmll	tmll
152214	išdh	išdh
152215	qrnm	qrnm
#---------------------------- KTU 1.101 7
152216	dt	dt
152217	ʿlh	ʿlh
152218	rišh	rišh
152219	b	b
152220	glṯ	glṯ
152221	b	b
152222	šmm	šmm
#---------------------------- KTU 1.101 8
152223	yšil	yšil
152224	ṯrm	ṯrm
152225	iṯ	iṯ
152226	ph	ph
152227	kṯt	kṯt
152228	ġbt	ġbt
152229	xx	xx
#---------------------------- KTU 1.101 9
152230	xxxtmkyn	xxxtmkyn
152231	ddm	ddm
152232	lbh	lbh
152233	xxxx	xxxx
#---------------------------- KTU 1.101 10
152234	xxxxxxxxš	xxxxxxxxš
152235	yt	yt
152236	šxxxxx	šxxxxx
#---------------------------- KTU 1.101 11
152237	xxxxxxxxš	xxxxxxxxš
152238	lxxxx	lxxxx
#---------------------------- KTU 1.101 12
152239	xxxxxxxxth	xxxxxxxxth
152240	lxxxxxx	lxxxxxx
#---------------------------- KTU 1.101 13
152241	xxxxxxxl	xxxxxxxl
152242	ẓr	ẓr
152243	urxxxx	urxxxx
#---------------------------- KTU 1.101 14
152244	xx	xx
152245	yskt	yskt
152246	nʿmn	nʿmn
152247	nblxxxx	nblxxxx
#---------------------------- KTU 1.101 15
152248	xx	xx
152249	yṣq	yṣq
152250	šmn	šmn
152251	šlm	šlm
152252	b	b
152253	ṣʿ	ṣʿ
152254	trḥṣ	trḥṣ
#---------------------------- KTU 1.101 16
152255	ydh	ydh
152256	btlt	btlt
152257	ʿnt	ʿnt
152258	uṣbʿth	uṣbʿth
152259	ybmt	ybmt
#---------------------------- KTU 1.101 17
152260	limm	limm
152261	tiḫd	tiḫd
152262	knrh	knrh
152263	b	b
152264	ydh	ydh
152265	tšt	tšt
#---------------------------- KTU 1.101 18
152266	rmimt	rmimt
152267	l	l
152268	irth	irth
152269	tšr	tšr
152270	dd	dd
152271	aliyn	aliyn
#---------------------------- KTU 1.101 19
152272	bʿl	bʿl
152273	ahbt	ahbt
