#---------------------------- KTU 2.12 1
156631	l	l
156632	mlkt	mlkt
#---------------------------- KTU 2.12 2
156633	adty	adty
#---------------------------- KTU 2.12 3
156634	rgm	rgm
#---------------------------- KTU 2.12 4
156635	tḥm	tḥm
156636	tlmyn	tlmyn
#---------------------------- KTU 2.12 5
156637	ʿbdk	ʿbdk
#---------------------------- KTU 2.12 6
156638	l	l
156639	pʿn	pʿn
#---------------------------- KTU 2.12 7
156640	adty	adty
#---------------------------- KTU 2.12 8
156641	šbʿd	šbʿd
#---------------------------- KTU 2.12 9
156642	w	w
156643	šbʿid	šbʿid
#---------------------------- KTU 2.12 10
156644	mrḥqtm	mrḥqtm
#---------------------------- KTU 2.12 11
156645	qlt	qlt
#---------------------------- KTU 2.12 12
156646	ʿm	ʿm
156647	adty	adty
#---------------------------- KTU 2.12 13
156648	mnm	mnm
156649	šlm	šlm
#---------------------------- KTU 2.12 14
156650	rgm	rgm
156651	tṯṯb	tṯṯb
#---------------------------- KTU 2.12 15
156652	l	l
156653	ʿbdh	ʿbdh
