#---------------------------- KTU 1.57 1
149312	ltm	ltm
149313	r	r
#---------------------------- KTU 1.57 2
149314	x	x
149315	arbʿt	arbʿt
#---------------------------- KTU 1.57 3
149316	qdš	qdš
#---------------------------- KTU 1.57 4
149317	kšu	kšu
149318	pš	pš
#---------------------------- KTU 1.57 5
149319	x	x
149320	ksa	ksa
#---------------------------- KTU 1.57 6
149321	bʿlt	bʿlt
149322	bhtm	bhtm
#---------------------------- KTU 1.57 7
149323		
149324	by	by
149325	x	x
#---------------------------- KTU 1.57 8
149326	x	x
149327	nn	nn
#---------------------------- KTU 1.57 9
149328	x	x
149329	mgx	mgx
#---------------------------- KTU 1.57 10
149330	x	x
