#---------------------------- KTU 2.15 1
156743	gnryn	gnryn
#---------------------------- KTU 2.15 2
156744	l	l
156745	mlkytn	mlkytn
#---------------------------- KTU 2.15 3
156746	ḥnny	ḥnny
156747	lpn	lpn
156748	mlk	mlk
#---------------------------- KTU 2.15 4
156749	šink	šink
156750	itn	itn
#---------------------------- KTU 2.15 5
156751	rʿy	rʿy
156752	šṣa	šṣa
156753	idn	idn
156754	ly	ly
#---------------------------- KTU 2.15 6
156755	l	l
156756	šmin	šmin
156757	iṯr	iṯr
156758	hw	hw
#---------------------------- KTU 2.15 7
156759	p	p
156760	iḫdn	iḫdn
156761	gnryn	gnryn
#---------------------------- KTU 2.15 8
156762	im	im
156763	mlkytn	mlkytn
156764	yrgm	yrgm
#---------------------------- KTU 2.15 9
156765	aḫnnn	aḫnnn
#---------------------------- KTU 2.15 10
156766	w	w
156767	iḫd	iḫd
