#---------------------------- KTU 1.50 1
149216	ʿṯtrt	ʿṯtrt
#---------------------------- KTU 1.50 2
149217	l	l
149218	ksu	ksu
149219	ilt	ilt
#---------------------------- KTU 1.50 3
149220	w	w
149221	ṯṯ	ṯṯ
149222	l	l
149223	ʿṯtrt	ʿṯtrt
#---------------------------- KTU 1.50 4
149224	š	š
149225	l	l
149226	ilt	ilt
149227	š	š
149228	lʿṯtrt	lʿṯtrt
#---------------------------- KTU 1.50 5
149229	ʿṣr	ʿṣr
149230	l	l
149231	pdr	pdr
149232	ṯṯ	ṯṯ
149233	ṣin	ṣin
#---------------------------- KTU 1.50 6
149234	tšnpn	tšnpn
149235	ʿlm	ʿlm
149236	kmm	kmm
#---------------------------- KTU 1.50 7
149237	w	w
149238	l	l
149239	ll	ll
149240	ʿṣrm	ʿṣrm
149241	w	w
149242		
#---------------------------- KTU 1.50 8
149243	kmm	kmm
149244	w	w
149245	in	in
149246	ʿṣr	ʿṣr
#---------------------------- KTU 1.50 9
149247	w	w
149248	mit	mit
149249	šʿrt	šʿrt
149250	y	y
#---------------------------- KTU 1.50 10
149251	w	w
149252	kdr	kdr
149253	w	w
149254	npt	npt
149255	t	t
#---------------------------- KTU 1.50 11
149256	w	w
149257	ksp	ksp
149258	yʿdb	yʿdb
149259	x	x
