#---------------------------- KTU 1.133 1
154724	w	w
154725	yʿny	yʿny
154726	bn	bn
#---------------------------- KTU 1.133 2
154727	ilm	ilm
154728	mt	mt
154729	npšm	npšm
#---------------------------- KTU 1.133 3
154730	npš	npš
154731	lbim	lbim
#---------------------------- KTU 1.133 4
154732	thw	thw
154733	w	w
154734	npš	npš
#---------------------------- KTU 1.133 5
154735	anḫr	anḫr
154736	b	b
154737	ym	ym
#---------------------------- KTU 1.133 6
154738	brkyt	brkyt
154739	kšbšt	kšbšt
#---------------------------- KTU 1.133 7
154740	k	k
154741	rumm	rumm
154742	hm	hm
#---------------------------- KTU 1.133 8
154743	ʿn	ʿn
154744	kḏd	kḏd
154745	aylt	aylt
#---------------------------- KTU 1.133 9
154746	mt	mt
154747	hm	hm
154748	ks	ks
154749	ym	ym
#---------------------------- KTU 1.133 10
154750	sk	sk
154751	nhr	nhr
154752	hm	hm
#---------------------------- KTU 1.133 11
154753	šbʿ	šbʿ
154754	ydty	ydty
154755	b	b
154756	ṣʿ	ṣʿ
#---------------------------- KTU 1.133 12
154757	xšbʿ	xšbʿ
154758	rbt	rbt
#---------------------------- KTU 1.133 13
154759	xxx	xxx
154760	qbẓ	qbẓ
154761	ṯmt	ṯmt
#---------------------------- KTU 1.133 14
154762	xxxm	xxxm
154763	ẓbm	ẓbm
154764	ṯr	ṯr
#---------------------------- KTU 1.133 15
154765	xxbn	xxbn
154766	ilm	ilm
#---------------------------- KTU 1.133 16
154767	mt	mt
154768	šmḥ	šmḥ
154769	p	p
154770	ydd	ydd
#---------------------------- KTU 1.133 17
154771	il	il
154772	ġzr	ġzr
154773	b	b
#---------------------------- KTU 1.133 18
154774	b	b
154775	abn	abn
154776	ʿ	ʿ
154777	z	z
154778	w	w
#---------------------------- KTU 1.133 19
154779	rgbt	rgbt
154780	zbl	zbl
