#---------------------------- KTU 1.146 1
154963	xlḥ	xlḥ
154964	ġb	ġb
#---------------------------- KTU 1.146 2
154965	x	x
154966	ḥdṯt	ḥdṯt
#---------------------------- KTU 1.146 3
154967	km	km
154968	kmm	kmm
154969	w	w
154970	bx	bx
#---------------------------- KTU 1.146 4
154971	kl	kl
154972	kmm	kmm
154973	xx	xx
#---------------------------- KTU 1.146 5
154974	x	x
154975	ṯmm	ṯmm
#---------------------------- KTU 1.146 6
154976	tbʿ	tbʿ
154977	mdrʿh	mdrʿh
#---------------------------- KTU 1.146 7
154978	h	h
154979	hmt	hmt
#---------------------------- KTU 1.146 8
154980	xb	xb
154981	špš	špš
#---------------------------- KTU 1.146 9
154982	xm	xm
