#---------------------------- KTU 3.6 1
161090	x	x
#---------------------------- KTU 3.6 2
161091	rḥ	rḥ
161092	ypḥ	ypḥ
#---------------------------- KTU 3.6 3
161093	ḥmrm	ḥmrm
#---------------------------- KTU 3.6 4
161094	ʿnm	ʿnm
#---------------------------- KTU 3.6 5
161095	mqpm	mqpm
#---------------------------- KTU 3.6 6
161096	xḥym	xḥym
#---------------------------- KTU 3.6 7
161097	mʿṣd	mʿṣd
#---------------------------- KTU 3.6 8
161098	kṣn	kṣn
#---------------------------- KTU 3.6 9
161099	x	x
