#---------------------------- KTU 2.13 1
156654	l	l
156655	mlkt	mlkt
#---------------------------- KTU 2.13 2
156656	adtumy	adtumy
156657	rgm	rgm
#---------------------------- KTU 2.13 3
156658	tḥm	tḥm
156659	mlk	mlk
#---------------------------- KTU 2.13 4
156660	bnk	bnk
#---------------------------- KTU 2.13 5
156661	l	l
156662	pʿn	pʿn
156663	umy	umy
#---------------------------- KTU 2.13 6
156664	qlt	qlt
156665	l	l
156666	umy	umy
#---------------------------- KTU 2.13 7
156667	yšlm	yšlm
156668	ilm	ilm
#---------------------------- KTU 2.13 8
156669	tġrk	tġrk
156670	tšlmk	tšlmk
#---------------------------- KTU 2.13 9
156671	hlnky	hlnky
156672	ʿmny	ʿmny
#---------------------------- KTU 2.13 10
156673	kll	kll
156674	šlm	šlm
#---------------------------- KTU 2.13 11
156675	ṯmny	ṯmny
156676	ʿm	ʿm
156677	umy	umy
#---------------------------- KTU 2.13 12
156678	mnm	mnm
156679	šlm	šlm
#---------------------------- KTU 2.13 13
156680	w	w
156681	rgm	rgm
156682	ṯṯb	ṯṯb
156683	ly	ly
#---------------------------- KTU 2.13 14
156684	bm	bm
156685	tyndr	tyndr
#---------------------------- KTU 2.13 15
156686	iṯt	iṯt
156687	ʿmn	ʿmn
156688	mlkt	mlkt
#---------------------------- KTU 2.13 16
156689	w	w
156690	rgmy	rgmy
156691	l	l
#---------------------------- KTU 2.13 17
156692	qḥlqt	qḥlqt
156693	w	w
156694	pn	pn
#---------------------------- KTU 2.13 18
156695	mlk	mlk
156696	nr	nr
156697	bn	bn
