#---------------------------- KTU 1.89 1
151151	xx	xx
#---------------------------- KTU 1.89 2
151152	xx	xx
#---------------------------- KTU 1.89 3
151153	gd	gd
151154	w	w
151155		
#---------------------------- KTU 1.89 4
151156	x	x
151157	gd	gd
151158	l	l
151159	r	r
#---------------------------- KTU 1.89 5
151160	šdkm	šdkm
151161	k	k
#---------------------------- KTU 1.89 6
151162	w	w
151163	š	š
#---------------------------- KTU 1.89 7
151164		
151165	yqdm	yqdm
151166		
#---------------------------- KTU 1.89 8
151167	ṯn	ṯn
