#---------------------------- KTU 2.23 1
156987	w	w
156988	k	k
156989	rgm	rgm
156990	špš	špš
#---------------------------- KTU 2.23 2
156991	mlk	mlk
156992	rb	rb
156993	bʿly	bʿly
156994	u	u
#---------------------------- KTU 2.23 3
156995	ʿṯtrab	ʿṯtrab
156996	mlakt	mlakt
156997	ʿbdh	ʿbdh
#---------------------------- KTU 2.23 4
156998	ylak	ylak
156999	l	l
157000	bʿlk	bʿlk
157001	k	k
157002	yḫpn	yḫpn
#---------------------------- KTU 2.23 5
157003	mlakty	mlakty
157004	ʿmh	ʿmh
157005	uky	uky
#---------------------------- KTU 2.23 6
157006	mlakt	mlakt
157007	ʿbdk	ʿbdk
157008	k	k
157009	tmġy	tmġy
#---------------------------- KTU 2.23 7
157010	mlakt	mlakt
157011	špš	špš
157012	mlk	mlk
157013	rb	rb
#---------------------------- KTU 2.23 8
157014	bʿly	bʿly
157015	ʿmxxxxxx	ʿmxxxxxx
#---------------------------- KTU 2.23 9
157016	ydʿt	ydʿt
157017	šxx	šxx
157018	špš	špš
157019	mlk	mlk
#---------------------------- KTU 2.23 10
157020	rb	rb
157021	bʿly	bʿly
#---------------------------- KTU 2.23 11
157022	x	x
#---------------------------- KTU 2.23 12
157023	r	r
#---------------------------- KTU 2.23 13
157024	b	b
157025	xšpš	xšpš
157026	mlk	mlk
#---------------------------- KTU 2.23 14
157027	rb	rb
157028	bʿly	bʿly
#---------------------------- KTU 2.23 15
157029	w	w
157030	ank	ank
157031	xxxxxxxb	xxxxxxxb
#---------------------------- KTU 2.23 16
157032	arš	arš
157033	ḥy	ḥy
157034	l	l
157035	špš	špš
#---------------------------- KTU 2.23 17
157036	mlk	mlk
157037	rb	rb
157038	bʿly	bʿly
157039	p	p
157040	l	l
#---------------------------- KTU 2.23 18
157041	ḥy	ḥy
157042	npš	npš
157043	arš	arš
#---------------------------- KTU 2.23 19
157044	l	l
157045	pn	pn
157046	bʿl	bʿl
157047	ṣpn	ṣpn
157048	bʿly	bʿly
#---------------------------- KTU 2.23 20
157049	w	w
157050	urk	urk
157051	ym	ym
157052	bʿly	bʿly
#---------------------------- KTU 2.23 21
157053	l	l
157054	pn	pn
157055	amn	amn
157056	w	w
157057	l	l
157058	pn	pn
#---------------------------- KTU 2.23 22
157059	il	il
157060	mṣrm	mṣrm
157061	dt	dt
157062	tġrn	tġrn
#---------------------------- KTU 2.23 23
157063	npš	npš
157064	špš	špš
157065	mlk	mlk
#---------------------------- KTU 2.23 24
157066	rb	rb
157067	bʿly	bʿly
#---------------------------- KTU 2.23 25
157068	b	b
157069	x	x
#---------------------------- KTU 2.23 26
157070	ʿbx	ʿbx
#---------------------------- KTU 2.23 27
157071	ʿxx	ʿxx
#---------------------------- KTU 2.23 28
157072	mš	mš
#---------------------------- KTU 2.23 29
157073	xtm	xtm
#---------------------------- KTU 2.23 30
157074	pm	pm
#---------------------------- KTU 2.23 31
157075	bʿlš	bʿlš
#---------------------------- KTU 2.23 32
157076	ap	ap
157077	xnpšn	xnpšn
#---------------------------- KTU 2.23 33
157078	mlk	mlk
#---------------------------- KTU 2.23 34
157079	yšlmxm	yšlmxm
#---------------------------- KTU 2.23 35
157080	ʿbx	ʿbx
#---------------------------- KTU 2.23 36
157081	x	x
#---------------------------- KTU 2.23 37
157082	xxxlx	xxxlx
