#---------------------------- KTU 3.26 1
161832	glx	glx
#---------------------------- KTU 3.26 2
161833	ksp	ksp
161834	ʿlhm	ʿlhm
#---------------------------- KTU 3.26 3
161835		
161836	ʿrbn	ʿrbn
#---------------------------- KTU 3.26 4
161837	ksp	ksp
161838	ʿl	ʿl
161839	il	il
#---------------------------- KTU 3.26 5
161840	xšm	xšm
#---------------------------- KTU 3.26 6
161841	xb	xb
161842	n	n
#---------------------------- KTU 3.26 7
161843	ksp	ksp
161844	ʿl	ʿl
#---------------------------- KTU 3.26 8
161845	xxxxx	xxxxx
