#---------------------------- KTU 1.49 1
149187						
149188	xx	xx				
#---------------------------- KTU 1.49 2
149189	t	ˤl(I);k(I);lqḥ[	ʕl (I);k (I);/l-q-ḥ/	prep.;prep.;vb	upon;like;to get hold of	
149190	š	š/	š	n.	ram	
149191	lil	lil				DULAT: NOT FOUND
#---------------------------- KTU 1.49 3
149192	aṯrt	aṯrt(I)/	ảṯrt (I)	n.	back part (of the head)	
149193	š	š/	š	n.	ram	
149194	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
#---------------------------- KTU 1.49 4
149195	ˤṣr	ˤṣr(I)/	ʕṣr (I)	n.	bird	
149196	lpdr	lpdr				DULAT: NOT FOUND
#---------------------------- KTU 1.49 5
149197	ṣin	ṣin(I)/	ṣỉn (I)	n.	ewe	
149198	aḥdh	aḥd/	ảḥd	adj. num./adv. num.	one	
#---------------------------- KTU 1.49 6
149199	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
149200	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʕṯtrt (II)	
#---------------------------- KTU 1.49 7
149201	ˤlm	ˤl(I)	ʕl (I)	prep.	upon	
149202	kmm	kmm	kmm	adv.	ditto	
#---------------------------- KTU 1.49 8
149203	w	w	w	conj.	and	
149204	bṯlṯ	bṯlṯ				DULAT: NOT FOUND
149205	ṣin	ṣin(I)/	ṣỉn (I)	n.	ewe	
#---------------------------- KTU 1.49 9
149206	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
149207	ll	ll(I)/	ll (I)	n.	night	
149208	pr	pr(I)/;pr(II)/	pr (I);pr (II)	n.;n.	fruit;young bull	
#---------------------------- KTU 1.49 10
149209	mit	mit/	mỉt	n.	a hundred	
149210	šˤrt	šˤrt(I)/	šʕrt (I)	n.	wool	
#---------------------------- KTU 1.49 11
149211	ptr	ptr				DULAT: NOT FOUND
149212	kx	kx				DULAT: NOT FOUND
#---------------------------- KTU 1.49 12
149213	xlyu	xlyu				DULAT: NOT FOUND
#---------------------------- KTU 1.49 13
149214	mlk	mlk[;mlk(II)/	/m-l-k/;mlk (II)	vb;n.	to reign;kingdom (power and territory)	
#---------------------------- KTU 1.49 14
149215	y	y	y	prep. functor	oh!	
