id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.146 1
154963	xlḥ	?	?	?	?	DULAT: NOT FOUND
154964	ġb	ġb(I)/;ġb(II)	ġb (I);ġb (II)	n. m.;?	(sacrificial) pit;?	
# KTU 1.146 2
154965	x	?	?	?	?	
154966	ḥdṯt	ḥdṯ(I)/	ḥdṯ (I)	adj.	new	
# KTU 1.146 3
154967	km	k(I);k(III);k(IV)	k (I);k (III);k (IV)	prep.;Subordinating or completive functor;adv.	like;when;thus	
154968	kmm	kmm	kmm	adv.	ditto	
154969	w	w	w	conj.	and	
154970	bx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.146 4
154971	kl	kl/	kl	n. m.	totality (of)	
154972	kmm	kmm	kmm	adv.	ditto	
154973	xx	?	?	?	?	
# KTU 1.146 5
154974	x	?	?	?	?	
154975	ṯmm	ṯm;ṯmm[	ṯm;/ṯ-m-m/	adv.;vb	there;to be appalled	
# KTU 1.146 6
154976	tbˤ	!t!bˤ[	/t-b-ʕ/	vb	to go	
154977	mdrˤh	mdrˤ/+h	mdrʕ	n. m.	sown land	
# KTU 1.146 7
154978	h	ˤl(I);hnd/;aḫt(I)/	ʕl (I);hnd;ảḫt (I)	prep.;dem. adj./pn.;n. f.	upon;this;sister (related by blood)	
154979	hmt	?	?	?	?	DULAT: NOT FOUND
# KTU 1.146 8
154980	xb	?	?	?	?	DULAT: NOT FOUND
154981	špš	špš/	špš	n.	sun	
# KTU 1.146 9
154982	xm	?	?	?	?	DULAT: NOT FOUND
