id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 1.43 1						
148779	k	+k	-k (I)			
148779	k	~k	-k (II)			
148779	k	k(III)	k (III)	Subordinating or completive functor	when	
148779	k	k(I)	k (I)	prep.	like	
148779	k	k(II)	k (II)	emph. functor	yes	
148780	tˤrb	!t!ˤrb(I)[	/ʕ-r-b/ (I)	vb G	to enter	
148781	ˤṯtrt	ˤṯtrt(II)/	ʕṯtrt (II)	TN	ʿṯtrt (II)	
148782	ḫr	ḫr(I)/	ḫr (I)	n.	cave	
148783	gb	gb(I)/	gb (I)	n.	pit	
# KTU 1.43 2						
148784	bt	bt(II)/	bt (II)	n.	house	
148784	bt	bt(I)/	bt (I)	n.	daughter	
148785	mlk	mlk[	/m-l-k/	vb G	to reign	
148785	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
148786	ˤšr	ˤšr(I)/	ʕšr (I)	n. num.	ten	
148786	ˤšr	ˤšr[:d:pass	/ʕ-š-r/	vb D/Dpass	ʕšr ʕšr b bt ỉlm a banquet is held in the temple of the gods	
148786	ˤšr	ˤšr(I)/	ʕšr(t) (I)	n.	banquet	
148787	ˤšr	ˤšr(I)/	ʕšr (I)	n. num.	ten	
148787	ˤšr	ˤšr[:d:pass	/ʕ-š-r/	vb D/Dpass	ʕšr ʕšr b bt ỉlm a banquet is held in the temple of the gods	
148787	ˤšr	ˤšr(I)/	ʕšr(t) (I)	n.	banquet	
148788	b	b	b	prep.	in	
148789	gb	gb(I)/	gb (I)	n.	pit	
148790	bt	bt(II)/	bt (II)	n.	house	
148790	bt	bt(I)/	bt (I)	n.	daughter	
148791	ilm	il(I)/m	ỉl (I)	n.	god	
# KTU 1.43 3						
148792	kbkbm	kbkb/m	kbkb	n.	heavenly body	
148793	xtrmt	xtrmt				DULAT: NOT FOUND
# KTU 1.43 4						
148794	lbš	lbš/	lbš	n.	clothing	
148794	lbš	lbš[	/l-b-š/	vb G	to dress	
148795	w	w	w	conj.	and	
148796	ktn	ktn(I)/	ktn (I)	n.	shirt-like tunic	
148797	ušpġt	ušpġt/	ủšpġt	n.	ein Gewand	
# KTU 1.43 5						
148798	ḫrṣ	ḫrṣ/	ḫrṣ	n.	gold	
148799	ṯlṯt	ṯlṯ(I)/t	ṯlṯ (I)	n. nuf.	three	
148800	mzn	mzn/	mzn	n.	weight	
# KTU 1.43 6						
148801	drk	dr/	dr	n.	circle	
