155187	arṣ	arṣ/	ảrṣ	n.	earth
155188	rd	yrd[	/y-r-d/	vb	to go down
155189	arṣ	arṣ/	ảrṣ	n.	earth
#---------------------------- KTU 1.161 22
155190	rd	yrd[	/y-r-d/	vb	to go down
155191	w	w	w	conj.	and
155192	špl	špl[	/š-p-l/	vb	to bend down
155193	ˤpr	ˤpr(I)/	ʕpr (I)	n.	dust
155194	tḥt	tḥt(I)	tḥt (I)	prep.	under
#---------------------------- KTU 1.161 23
155195	sdn	sd/+n(I);sd/+n(II);sd/+n(III)	sd,-n (I);sd,-n (II);sd,-n (III)	n.,morph.;n.,pers. pn./morph./vb;n.,pers. pn./morph.	council,Sun;council,me;council,our
155196	w	w	w	conj.	and
155197	rdn	yrd[+n(I);yrd[+n(II);yrd[+n(III)	/y-r-d/,-n (I);/y-r-d/,-n (II);/y-r-d/,-n (III)	vb,morph.;vb,pers. pn./morph./vb;vb,pers. pn./morph.	to go down,Sun;to go down,me;to go down,our
155198	tḥt	tḥt(I)	tḥt (I)	prep.	under
155199	ṯr	ṯr(I)/	ṯr (I)	n.	bull
#---------------------------- KTU 1.161 24
155200	ˤl	ˤl(I)	ʕl (I)	prep.	upon
155201	lmn	šlm[	/š-l-m/	vb	to be well
155202	tḥt	tḥt(I)	tḥt (I)	prep.	under
155203	rpim	rpu/	rpủ	n.	healer
155204	qdmym	qdmy/	qdmy	adj.	ancient
#---------------------------- KTU 1.161 25
155205	tḥt	tḥt(I)	tḥt (I)	prep.	under
155206	ˤmṯtmr	?	?	?	?	DULAT: NOT FOUND
155207	mlk	mlk[;mlk(II)/	/m-l-k/;mlk (II)	vb;n.	to reign;kingdom (power and territory)
#---------------------------- KTU 1.161 26
155208	tḥm	tḥm/	tḥm	n.	message
155209	u	u	ủ	conj.	or
155210	nqmd	?	?	?	?	DULAT: NOT FOUND
155211	mlk	mlk[;mlk(II)/	/m-l-k/;mlk (II)	vb;n.	to reign;kingdom (power and territory)
#---------------------------- KTU 1.161 27
155212	ˤšty	ˤšt/	ʕšt(y)	n. of card. num.	one
155213	w	w	w	conj.	and
155214	ṯˤy	ṯˤy(I)/;ṯˤy[	ṯʕy (I);/ṯ-ʕ-y/	n.;vb	minister;to offer
155215	ṯn	ṯn(I)/	ṯn (I)	num.	two
155216	w	w	w	conj.	and
155217	ṯˤy	ṯˤy(I)/;ṯˤy[	ṯʕy (I);/ṯ-ʕ-y/	n.;vb	minister;to offer
#---------------------------- KTU 1.161 28
155218	ṯlṯ	ṯlṯ(I)/;ṯlṯ(V)/;ṯlṯ(II)/	ṯlṯ (I);ṯlṯ (V);ṯlṯ (II)	n. num.;n.;adj. ord. num.	three;copper;third
155219	w	w	w	conj.	and
155220	ṯˤy	ṯˤy(I)/;ṯˤy[	ṯʕy (I);/ṯ-ʕ-y/	n.;vb	minister;to offer
155221	arbˤ	arbˤ/	ảrbʕ	num.	four
155222	w	w	w	conj.	and
155223	ṯˤy	ṯˤy(I)/;ṯˤy[	ṯʕy (I);/ṯ-ʕ-y/	n.;vb	minister;to offer
#---------------------------- KTU 1.161 29
155224	ḫmš	ḫmš(I)/	ḫmš (I)	n. num.	five
155225	w	w	w	conj.	and
155226	ṯˤy	ṯˤy(I)/;ṯˤy[	ṯʕy (I);/ṯ-ʕ-y/	n.;vb	minister;to offer
155227	ṯṯ	ṯṯ/	ṯṯ	n. num.	six
155228	w	w	w	conj.	and
155229	ṯˤy	ṯˤy(I)/;ṯˤy[	ṯʕy (I);/ṯ-ʕ-y/	n.;vb	minister;to offer
#---------------------------- KTU 1.161 30
155230	šbˤ	šbˤ(I)/	šbʕ (I)	n. num.	seven
155231	w	w	w	conj.	and
