#---------------------------- KTU 1.76 1
149865	xṯx	xṯx				DULAT: NOT FOUND
#---------------------------- KTU 1.76 2
149866	arbʿm	arbˤm/;arbˤm/	ảrbʕm;ảrbʕ	n. num.;num.	forty;four	
#---------------------------- KTU 1.76 3
149867						
#---------------------------- KTU 1.76 4
149868	arbʿm	arbˤm/;arbˤm/	ảrbʕm;ảrbʕ	n. num.;num.	forty;four	
#---------------------------- KTU 1.76 5
149869	tšʿm	tšˤm/;tšˤm/	tšʕm;tšʕ	n. num.;n. num.	ninety;nine	
#---------------------------- KTU 1.76 6
149870	tšʿm	tšˤm/;tšˤm/	tšʕm;tšʕ	n. num.;n. num.	ninety;nine	
#---------------------------- KTU 1.76 7
149871	xy	xy				DULAT: NOT FOUND
149872	arbʿm	arbˤm/;arbˤm/	ảrbʕm;ảrbʕ	n. num.;num.	forty;four	
#---------------------------- KTU 1.76 8
149873	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
149874	špš	špš/	špš	n.	sun	
149875	ṯmnym	ṯmnym/;ṯmnym(I)/	ṯmnym;ṯmn(y) (I)	num.;num.	eighty;eight	
#---------------------------- KTU 1.76 9
149876	dbrh	dbrh				DULAT: NOT FOUND
149877	lšpš	lšpš				DULAT: NOT FOUND
#---------------------------- KTU 1.76 10
149878	dbrh	dbrh				DULAT: NOT FOUND
149879	lšpš	lšpš				DULAT: NOT FOUND
#---------------------------- KTU 1.76 11
149880	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
149881	npṭry	npṭry				DULAT: NOT FOUND
149882	ṯmnym	ṯmnym/;ṯmnym(I)/	ṯmnym;ṯmn(y) (I)	num.;num.	eighty;eight	
#---------------------------- KTU 1.76 12
149883	t	t[;t[;t[	/l-q-ḥ/;/p-r-ʕ/;/y-b-m/	vb;vb;vb	to get hold of, take, grasp; to receive, accept, take (away); to collect, hold; to choose, opt for something;to wash;to proclaim oneself a nubile widow	ambiguous DULAT candidates: 17 (showing top 3)
149884	urm	urm				DULAT: NOT FOUND
149885	x	x				
#---------------------------- KTU 1.76 13
149886	x	x				
