id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
# KTU 3.27 1						
161846	xn	xn				DULAT: NOT FOUND
# KTU 3.27 2						
161847	bd	b	b	prep.	in	
# KTU 3.27 3						
161848	bd	b	b	prep.	in	
161849	br	br/	br(r)	n.	tin	
161849	br	br(I)/	br (I)	n.	Art Seeschiff	
161849	br	br[	/b-r(-r)/	vb G	to be or remain pure	
# KTU 3.27 4						
161850	ky	k(III)	k (III)	Subordinating or completive functor	when	
161850	ky	k(II)	k (II)	emph. functor	yes	
161850	ky	k(IV)	k (IV)	adv.	thus	
161851	bd	b	b	prep.	in	
# KTU 3.27 5						
161852	bn	bn(I)/	bn (I)	n.	son	
161852	bn	bn(II)	bn (II)	prep.	between	
161852	bn	bn[	/b-n/	vb G	to understand	
# KTU 3.27 6						
161853						
161854	ubdy	ubdy/	ủbdy	n.	land	
# KTU 3.27 7						
161855						
161856	mxx	mxx				DULAT: NOT FOUND
