id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
# KTU 1.109 1						
153351	b	b	b	prep.	in	
153352	arbˤt	arbˤ/	ảrbʕ	num.	four	
153353	ˤšrt	ˤšr(I)/	ʕšr(t) (I)	n.	banquet	
153353	ˤšrt	ˤšrt(II)/	ʕšrt (II)	n.	group of ten	
# KTU 1.109 2						
153354	yrtḥṣ	!y!r]t]ḥṣ[	/r-ḥ-ṣ/	vb Gt	to wash	
153355	mlk	mlk[	/m-l-k/	vb G	to reign	
153355	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
153356	brr	br/	br(r)	n.	tin	
153356	brr	brr/	brr	adj.	pure	
# KTU 1.109 3						
153357	b	b	b	prep.	in	
153358	ym	ym(I)/	ym (I)	n.	day	
153358	ym	ym(II)/	ym (II)	n.	sea	
153359	mlat	ml(ʔ&a[t	/m-l-ʔ/	vb G	to be full	
153359	mlat	mlat/	mlảt	n.	fullness	
# KTU 1.109 4						
153360	tqln	!t!ql[n	/q-l/	vb G	to fall (down)	
153361	alpm	alp(I)/m	ảlp (I)	n.	(head of) cattle	
153361	alpm	alp(II)/	ảlp (II)	num.	(one, a) thousand	
# KTU 1.109 5						
153362	yrḫ	yrḫ/	yrḫ	n.	moon	
153363	ˤšrt	ˤšr(I)/	ʕšr(t) (I)	n.	banquet	
153363	ˤšrt	ˤšrt(II)/	ʕšrt (II)	n.	group of ten	
153364	l	l(I)	l (I)	prep.	to	
153365	bˤl	bˤl(II)/	bʕl (II)	DN	Baʿlu/Baal	
153366	ṣpn	ṣpn/	ṣpn	TN/DN	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.109 6						
153367	dqtm	dqt(I)/m	dqt (I)	adj. or n. du.	small	
153368	w	w	w	conj.	and	
153369	ynt	ynt/	ynt	n.	dove	
153370	qrt	qrt(I)/	qrt (I)	n.	city	
# KTU 1.109 7						
153371	w	w	w	conj.	and	
153372	mtntm	mtnt/m	mtnt	n. du.	loin	
153373	kš	kš/	kš	n.	date	
153374	lrmš	lrmš				DULAT: NOT FOUND
# KTU 1.109 8						
153375	w	w	w	conj.	and	
153376	kbd	kbd(II)/	kbd (II)	n.	total (quantity or price)	
153376	kbd	kbd(I)/	kbd (I)	n. f.	liver	
153376	kbd	kbd[:d	/k-b-d/	vb D	to honour	
153377	w	w	w	conj.	and	
153378	š	š/	š	n.	ram	
153379	l	l(I)	l (I)	prep.	to	
153379	l	l(II)	l (II)	adv.	no	
153379	l	l(III)	l (III)	functor	certainly	
153380	šlm	šlm(I)/	šlm (I)	n.	peace	
153380	šlm	šlm[:d	/š-l-m/	vb G/D	to be well	
153380	šlm	šlm(III)/	šlm (III)	adj.	pure	
153381	kbd	kbd(II)/	kbd (II)	n.	total (quantity or price)	
153381	kbd	kbd(I)/	kbd (I)	n. f.	liver	
153381	kbd	kbd[:d	/k-b-d/	vb D	to honour	
# KTU 1.109 9						
153382	alp	alp(I)/	ảlp (I)	n.	(head of) cattle	
153382	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
153383	w	w	w	conj.	and	
153384	š	š/	š	n.	ram	
153385	l	l(I)	l (I)	prep.	to	
153386	bˤl	bˤl(II)/	bʕl (II)	DN	Baʿlu/Baal	
153387	ṣpn	ṣpn/	ṣpn	TN/DN	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.109 10						
153388	dqt	dqt(I)/	dqt (I)	adj. or n.	small	
153389	lṣpn	lṣpn				DULAT: NOT FOUND
153390	šrp	šrp/	šrp	n.	burnt sacrifice	
153391	w	w	w	conj.	and	
153392	šlmm	šlm(II)/~m	šlm (II)	n. m.	communion victim / sacrifice	
153392	šlmm	šlm(II)/m	šlm (II)	n. m.	communion victim / sacrifice	
# KTU 1.109 11						
153393	kmm	kmm	kmm	adv.	ditto	
153394	w	w	w	conj.	and	
153395	bbt	bbt(II)/	bbt (II)	DN	superintendent	
153395	bbt	bbt(I)/	bbt (I)	TN	bbt (I)	
153396	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
153396	bˤl	bˤl[/	/b-ʕ-l/	vb G	to make	
153397	ugrt	ugrt/	ủgrt	TN	Ugarit	
# KTU 1.109 12						
153398	kkdm	kkdm				DULAT: NOT FOUND
153399	w	w	w	conj.	and	
153400	npš	npš(I)/	npš (I)	n.	throat	
153401	ilib	ilib(I)/	ỉlỉb (I)	DN	father god	
# KTU 1.109 13						
153402	gdlt	gdlt(I)/	gdlt (I)	n.	head of cattle	
153403	il	il(I)/	ỉl (I)	n.	god	
153404	š	š/	š	n.	ram	
153405	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
153405	bˤl	bˤl[/	/b-ʕ-l/	vb G	to make	
153406	š	š/	š	n.	ram	
153407	ˤnt	ˤn(I)/t=	ʕn (I)	n.	eye	
153407	ˤnt	ˤn(t(I)/t	ʕnt (I)	DN	ʿAnatu/Anat	
153407	ˤnt	ˤnt(II)	ʕnt (II)	adv.	now	
# KTU 1.109 14						
153408	ṣpn	ṣpn/	ṣpn	TN/DN	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
153409	alp	alp(I)/	ảlp (I)	n.	(head of) cattle	
153409	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
153410	w	w	w	conj.	and	
153411	š	š/	š	n.	ram	
153412	pdry	pdry/	pdry	DN	Pidray	
153412	pdry	pdr(I)/+y	pdr (I)	n.	town	
153413	š	š/	š	n.	ram	
# KTU 1.109 15						
153414	šrp	šrp/	šrp	n.	burnt sacrifice	
153415	w	w	w	conj.	and	
153416	šlmm	šlm(II)/~m	šlm (II)	n. m.	communion victim / sacrifice	
153416	šlmm	šlm(II)/m	šlm (II)	n. m.	communion victim / sacrifice	
153417	ilib	ilib(I)/	ỉlỉb (I)	DN	father god	
153418	š	š/	š	n.	ram	
# KTU 1.109 16						
153419	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
153419	bˤl	bˤl(I)/	bʕl (I)	n.	labourer	
153419	bˤl	bˤl[	/b-ʕ-l/	vb G	to make	
153420	ugrt	ugrt/	ủgrt	TN	Ugarit	
153421	š	š/	š	n.	ram	
153422	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
153422	bˤl	bˤl(I)/	bʕl (I)	n.	labourer	
153422	bˤl	bˤl[	/b-ʕ-l/	vb G	to make	
153423	ḫlb	ḫlb(I)/	ḫlb (I)	n.	massif	
153424	š	š/	š	n.	ram	
# KTU 1.109 17						
153425	yrḫ	yrḫ/	yrḫ	n.	moon	
153426	š	š/	š	n.	ram	
153427	ˤnt	ˤn(I)/t=	ʕn (I)	n.	eye	
153427	ˤnt	ˤn(t(I)/t	ʕnt (I)	DN	ʿAnatu/Anat	
153427	ˤnt	ˤnt(II)	ʕnt (II)	adv.	now	
153428	ṣpn	ṣpn/	ṣpn	TN/DN	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
153429	alp	alp(I)/	ảlp (I)	n.	(head of) cattle	
153429	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
# KTU 1.109 18						
153430	w	w	w	conj.	and	
153431	š	š/	š	n.	ram	
153432	pdry	pdry/	pdry	DN	Pidray	
153432	pdry	pdr(I)/+y	pdr (I)	n.	town	
153433	š	š/	š	n.	ram	
153434	ddmš	ddmš/	ddmš	DN	ddmš	
153435	š	š/	š	n.	ram	
# KTU 1.109 19						
153436	w	w	w	conj.	and	
153437	burbt	burbt				DULAT: NOT FOUND
153438	ilib	ilib(I)/	ỉlỉb (I)	DN	father god	
153439	š	š/	š	n.	ram	
# KTU 1.109 20						
153440	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
153440	bˤl	bˤl[/	/b-ʕ-l/	vb G	to make	
153441	alp	alp(I)/	ảlp (I)	n.	(head of) cattle	
153441	alp	alp(II)/	ảlp (II)	num.	(one, a) thousand	
153442	wš	?		?	?	DULAT: NOT FOUND
# KTU 1.109 21						
153443	dgn	dgn(I)/	dgn (I)	n.	grain	
153444	š	š/	š	n.	ram	
153445	il	il(I)/	ỉl (I)	n.	god	
153446	tˤḏr	tˤḏr/	tʕḏr	n.	help	
153447	š	š/	š	n.	ram	
# KTU 1.109 22						
153448	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
153448	bˤl	bˤl[/	/b-ʕ-l/	vb G	to make	
153449	š	š/	š	n.	ram	
153450	ˤnt	ˤn(I)/t=	ʕn (I)	n.	eye	
153450	ˤnt	ˤn(t(I)/t	ʕnt (I)	DN	ʿAnatu/Anat	
153450	ˤnt	ˤnt(II)	ʕnt (II)	adv.	now	
153451	š	š/	š	n.	ram	
153452	ršp	ršp/	ršp	DN	Rašap	
153453	š	š/	š	n.	ram	
# KTU 1.109 23						
153454	šlmm	šlm(II)/~m	šlm (II)	n. m.	communion victim / sacrifice	
153454	šlmm	šlm(II)/m	šlm (II)	n. m.	communion victim / sacrifice	
# KTU 1.109 24						
153455	w	w	w	conj.	and	
153456	šnpt	šnpt/	šnpt	n.	wave- offering	
153457	il	il(I)/	ỉl (I)	n.	god	
153458	š	š/	š	n.	ram	
# KTU 1.109 25						
153459	l	l(I)	l (I)	prep.	to	
153459	l	l(III)	l (III)	functor	certainly	
153460	ˤnt	ˤn(I)/t=	ʕn (I)	n.	eye	
153460	ˤnt	ˤn(t(I)/t	ʕnt (I)	DN	ʿAnatu/Anat	
153460	ˤnt	ˤnt(II)	ʕnt (II)	adv.	now	
153461	ḥlš	ḥlš/	ḥlš	n.	appellative or place name	
153462	ṯn	ṯn(I)/	ṯn (I)	num.	two	
153462	ṯn	ṯn(II)/	ṯn (II)	num./adj.	second	
153462	ṯn	ṯn(III)/	ṯn (III)	n.	crimson (cloth, wool, purple)	
153463	šm	š/m	š	n. du.	ram	
