id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.149 1						
155024	unp	?	?	?	?	DULAT: NOT FOUND
155025	uḏn	?	?	?	?	DULAT: NOT FOUND
155026	pġrḏ	?	?	?	?	DULAT: NOT FOUND
# KTU 1.149 2						
155027	inḏ	?	?	?	?	DULAT: NOT FOUND
155028	tršwnḏ	?	?	?	?	DULAT: NOT FOUND
155029	nt	?	?	?	?	DULAT: NOT FOUND
# KTU 1.149 3						
155030	iṯp	?	?	?	?	DULAT: NOT FOUND
155031	ṯu	?	?	?	?	DULAT: NOT FOUND
155032	prdnḏ	?	?	?	?	DULAT: NOT FOUND
155033	ḫpš	?	?	?	?	DULAT: NOT FOUND
# KTU 1.149 4						
155034	prl	?	?	?	?	DULAT: NOT FOUND
155035	ḫḏm	?	?	?	?	DULAT: NOT FOUND
155036	id	id	ỉd	conj.	when	
155037	ḫpṯml	?	?	?	?	DULAT: NOT FOUND
155038		?	?	?	?	
# KTU 1.149 5						
155039	ḫurl	?	?	?	?	DULAT: NOT FOUND
155040	ṯdl	?	?	?	?	DULAT: NOT FOUND
155041	ḫyrḫxn	?	?	?	?	DULAT: NOT FOUND
155042	tr	!t!r[;tr(II)/	/t-r/;tr (II)	vb;n. m.	to scour;turtledove	
# KTU 1.149 6						
155043	trnḏa	?	?	?	?	DULAT: NOT FOUND
155044	ṯr	ṯr(I)/	ṯr (I)	n. m.	bull	
155045	ṯdmn	?	?	?	?	DULAT: NOT FOUND
155046	ix	?	?	?	?	DULAT: NOT FOUND
# KTU 1.149 7						
155047	pršm	?	?	?	?	DULAT: NOT FOUND
155048	ṯgt	?	?	?	?	DULAT: NOT FOUND
155049	idpd	?	?	?	?	DULAT: NOT FOUND
155050	ki	?	?	?	?	DULAT: NOT FOUND
# KTU 1.149 8						
155051	pršt	?	?	?	?	DULAT: NOT FOUND
155052	idp	?	?	?	?	DULAT: NOT FOUND
155053	tn	ˤl(I)+n(I);ˤl(I)+n(II);ˤl(I)+n(III)	ʕl (I),-n (I);ʕl (I),-n (II);ʕl (I),-n (III)	prep.,morph.;prep.,pers. pn./morph./vb;prep.,pers. pn./morph.	upon,Sun;upon,me;upon,our	
155054	šbn	?	?	?	?	DULAT: NOT FOUND
# KTU 1.149 9						
155055	pršwn	?	?	?	?	DULAT: NOT FOUND
155056	tṯpn	?	?	?	?	DULAT: NOT FOUND
155057	tyn	?	?	?	?	DULAT: NOT FOUND
155058	x	?	?	?	?	
# KTU 1.149 10						
155059	ṯuṯk	?	?	?	?	DULAT: NOT FOUND
155060	tzġ	tzġ/	tzġ	n. m.	kind of sacrificial meat	
155061	arm	a/+m(I);a/+m(II)	ả,-m (I);ả,-m (II)	n.,morph.;n.,emph. or det. encl. morph.	light,;light,und das (ist) so!	
155062	tṯp	?	?	?	?	DULAT: NOT FOUND
155063		?	?	?	?	
# KTU 1.149 11						
155064	ṯuṯk	?	?	?	?	DULAT: NOT FOUND
155065	ḫzr	ḫzr/	ḫzr	n. m.	assistant	
155066	pġrḏnṯ	?	?	?	?	DULAT: NOT FOUND
