#---------------------------- KTU 1.15 I:1
142792	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
142793	ytn	ytn[	/y-t-n/	vb	to give	
#---------------------------- KTU 1.15 II:11
142794	aḫr	aḫr	ảḫr	adv./prep./conj.	afterwards	
142795	mġy	mġy[	/m-ġ-y/	vb	to come	
142796	ˤdt	ˤdt(I)/;ˤdt(II)/	ʕdt (I);ʕdt (II)	n.;n.	assembly;date	
142797	ilm	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.15 II:12
142798	wyˤn	wyˤn				DULAT: NOT FOUND
142799	aliyn	aliyn/	ảlỉyn	adj.	The Very / Most Powerful	
142800	bˤl	bˤl(II)/;bˤl(I)/;bˤl[	bʕl (II);bʕl (I);/b-ʕ-l/	n./DN;n.;vb	Baʿlu;labourer;to make	
#---------------------------- KTU 1.15 II:13
142801	xxttbˤ	xxttbˤ				DULAT: NOT FOUND
142802	l	l(I);l(II);l(IV)	l (I);l (II);l (IV)	prep.;adv.;interj.	to;no;oh!	
142803	ṭpn	ṭpn				DULAT: NOT FOUND
#---------------------------- KTU 1.15 II:14
142804	il	il(I)/	ỉl (I)	n.	god	
142805	d	d	d	det. or rel. functor	the one(s) of	
142806	pid	pid/	pỉd	n.	heart	
142807	l	l(II);l(I);l(III)	l (II);l (I);l (III)	adv.;prep.;functor	no;to;certainly	
142808	tbrk	!t!brk(II)[;!t!brk(I)[	/b-r-k/ (II);/b-r-k/ (I)	vb;vb	to be blessed;to kneel (down)	
#---------------------------- KTU 1.15 II:15
142809	krt	krt/	krt	PN	krt	
142810	ṯˤ	ṯˤ(II)/;ṯˤ(I)/	ṯʕ (II);ṯʕ (I)	n.;n.	Hero;offering	
142811	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
142812	tmr	tmr				DULAT: NOT FOUND
142813	nˤmn	nˤmn(I)/	nʕmn (I)	adj.	handsome	
#---------------------------- KTU 1.15 II:16
142814	ġlmil	ġlmil				DULAT: NOT FOUND
142815	ks	ks(I)/;ks/	ks (I);ks	n.;n.	cup;emmer-corn	
142816	yiḫd	!y!ʔḫd[	/ʔ-ḫ-d(/ḏ)/	vb	to collect	
#---------------------------- KTU 1.15 II:17
142817	il	il(I)/	ỉl (I)	n.	god	
142818	byd	b+d	b,-d	prep.,→	in,	
142819	krpn	krpn/	krpn	n.	cup	
142820	bm	b	b	prep.	in	
142821	y	y	y	prep. functor	oh!	
#---------------------------- KTU 1.15 II:18
142822	ymn	ymn(I)/	ymn (I)	n.	right (side)	
142823	brkm	brk(II)[;brk/	/b-r-k/ (II);brk	vb;n.	to be blessed;knee	
142824	ybrk	!y!brk(II)[	/b-r-k/ (II)	vb	to be blessed	
#---------------------------- KTU 1.15 II:19
142825	ˤbdh	ˤbd(I)/	ʕbd (I)	n.	servant	
142826	ybrk	!y!brk(II)[	/b-r-k/ (II)	vb	to be blessed	
142827	il	il(I)/	ỉl (I)	n.	god	
142828	krt	krt/	krt	PN	krt	
#---------------------------- KTU 1.15 II:20
142829	ṯˤ	ṯˤ(II)/;ṯˤ(I)/	ṯʕ (II);ṯʕ (I)	n.;n.	Hero;offering	
142830	ymrm	ymrm				DULAT: NOT FOUND
142831	nˤmn	nˤmn(I)/	nʕmn (I)	adj.	handsome	
142832	ġlm	ġlm/	ġlm	n.	boy	
142833	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.15 II:21
142834	aṯt	aṯt/	ảṯt	n.	woman	
142835	tqḥ	lqḥ[	/l-q-ḥ/	vb	to get hold of	
142836	y	y	y	prep. functor	oh!	
142837	krt	krt/	krt	PN	krt	
142838	aṯt	aṯt/	ảṯt	n.	woman	
#---------------------------- KTU 1.15 II:22
142839	tqḥ	lqḥ[	/l-q-ḥ/	vb	to get hold of	
142840	btk	bt(II)/	bt (II)	n.	house	
142841	ġlmt	ġlmt(I)/;ġlmt(II)/	ġlmt (I);ġlmt (II)	n.;n.	damsel;concealment	
142842	tšˤrb	!t!]š]ˤrb(I)[	/ʕ-r-b/ (I)	vb	to enter	
#---------------------------- KTU 1.15 II:23
142843	ḥẓrk	ḥẓr/+k(I)	ḥẓr,-k (I)	n.,pers. pn./morph.	mansion,your(s)	
142844	tld	yld[	/y-l-d/	vb	to give birth (to)	
142845	šbˤ	šbˤ(I)/	šbʕ (I)	n. num.	seven	
142846	bnm	bn(I)/;b	bn (I);b	n.;prep.	son;in	
142847	lk	l(I)	l (I)	prep.	to	
#---------------------------- KTU 1.15 II:24
142848	w	w	w	conj.	and	
142849	ṯmn	ṯmn(I)/	ṯmn(y) (I)	num.	eight	
142850	tṯtmnm	tṯtmnm				DULAT: NOT FOUND
#---------------------------- KTU 1.15 II:25
142851	lk	l(I)	l (I)	prep.	to	
142852	tld	yld[	/y-l-d/	vb	to give birth (to)	
142853	yṣb	nṣb[	/n-ṣ-b/	vb	to erect	
142854	ġlm	ġlm/	ġlm	n.	boy	
#---------------------------- KTU 1.15 II:26
142855	ynq	ynq[	/y-n-q/	vb	to suck	
142856	ḥlb	ḥlb/	ḥlb	n.	milk	
142857	aṯrt	aṯrt(I)/	ảṯrt (I)	n.	back part (of the head)	
#---------------------------- KTU 1.15 II:27
142858	mṣṣ	mṣṣ/	mṣṣ	n.	one who sucks	
142859	ṯd	ṯd/	ṯd	n.	breast	
142860	btlt	btlt/	btlt	n.	virgin	
142861	ˤnt	ˤnt(I)/;ˤnt(II);ˤn(I)/	ʕnt (I);ʕnt (II);ʕn (I)	DN;adv.;n.	sister;now;eye	
#---------------------------- KTU 1.15 II:28
142862	mšnqt	mšnqt	mšnqt		wet nurse	
142863	xxxxxxx	xxxxxxx				
#---------------------------- KTU 1.15 III:1
142864	xxxxxxxxxxx	xxxxxxxxxxx				
#---------------------------- KTU 1.15 III:2
142865	xx	xx				
142866	mid	mi/	mỉ	n.	abundance	
142867	rm	rm(I)/;rm[;rm(II)/	rm (I);/r-m/;rm (II)	adj.;vb;n.	high;to go up;erection	
142868	krt	krt/	krt	PN	krt	
#---------------------------- KTU 1.15 III:3
142869	b	b	b	prep.	in	
142870	tk	tk/	tk	n.	centre	
142871	rpi	rpu/	rpủ	n.	healer	
142872	arṣ	arṣ/	ảrṣ	n.	earth	
#---------------------------- KTU 1.15 III:4
142873	b	b	b	prep.	in	
142874	pḫr	pḫr(I)/	pḫr (I)	n.	assembly	
142875	qbṣ	qbṣ/	qbṣ	n.	clan	
142876	dtn	d+n(I);d+n(II);d+n(III)	d,-n (I);d,-n (II);d,-n (III)	det. or rel. functor,morph.;det. or rel. functor,pers. pn./morph./vb;det. or rel. functor,pers. pn./morph.	the one(s) of,Sun;the one(s) of,me;the one(s) of,our	
#---------------------------- KTU 1.15 III:5
142877	w	w	w	conj.	and	
142878	tqrb	!t!qrb[	/q-r-b/	vb	to approach	
142879	wld	wld				DULAT: NOT FOUND
#---------------------------- KTU 1.15 III:6
142880	bn	bn(I)/;bn(II);bn[	bn (I);bn (II);/b-n/	n.;prep.;vb	son;between;to understand	
142881	t	ˤl(I);k(I);lqḥ[	ʕl (I);k (I);/l-q-ḥ/	prep.;prep.;vb	upon;like;to get hold of	
142882	lk	l(I)	l (I)	prep.	to	
#---------------------------- KTU 1.15 III:7
142883	tld	yld[	/y-l-d/	vb	to give birth (to)	
142884	pġt	pġt/	pġt	n.	girl	
142885	tpxxt	tpxxt				DULAT: NOT FOUND
#---------------------------- KTU 1.15 III:8
142886	tld	yld[	/y-l-d/	vb	to give birth (to)	
142887	pġt	pġt/	pġt	n.	girl	
142888	txxxr	txxxr				DULAT: NOT FOUND
#---------------------------- KTU 1.15 III:9
142889	tld	yld[	/y-l-d/	vb	to give birth (to)	
142890	pġt	pġt/	pġt	n.	girl	
142891	xxx	xxx				
#---------------------------- KTU 1.15 III:10
142892	tld	yld[	/y-l-d/	vb	to give birth (to)	
142893	pġt	pġt/	pġt	n.	girl	
142894	xxx	xxx				
#---------------------------- KTU 1.15 III:11
142895	tld	yld[	/y-l-d/	vb	to give birth (to)	
142896	pġt	pġt/	pġt	n.	girl	
142897	xxx	xxx				
#---------------------------- KTU 1.15 III:12
142898	tld	yld[	/y-l-d/	vb	to give birth (to)	
142899	pġt	pġt/	pġt	n.	girl	
142900	xxx	xxx				
#---------------------------- KTU 1.15 III:13
142901	mid	mi/	mỉ	n.	abundance	
142902	rm	rm(I)/;rm[;rm(II)/	rm (I);/r-m/;rm (II)	adj.;vb;n.	high;to go up;erection	
142903	krt	krt/	krt	PN	krt	
#---------------------------- KTU 1.15 III:14
142904	b	b	b	prep.	in	
142905	tk	tk/	tk	n.	centre	
142906	rpi	rpu/	rpủ	n.	healer	
142907	arṣ	arṣ/	ảrṣ	n.	earth	
#---------------------------- KTU 1.15 III:15
142908	b	b	b	prep.	in	
142909	pḫr	pḫr(I)/	pḫr (I)	n.	assembly	
