id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.25 1						
157110	xxxkn	xxxkn				DULAT: NOT FOUND
# KTU 2.25 2						
157111	adty	adt/+y	ảdt	n.	lady	
157112	x	x				
# KTU 2.25 3						
157113	lb	lb/	lb	n.	heart	
157114	ˤbdk	ˤbd(I)/+k	ʕbd (I)	n. du.	servant	
157115	al	al(I)	ảl (I)	neg. functor	no	
157115	al	al(II)	ảl (II)	pos. functor	surely	
# KTU 2.25 4						
157116	htm	htm	htm	adv.	now	
157117	iph	!(ʔ&i!ph(y[	/p-h-y/	vb G	to see	
157118	adty	adt/+y	ảdt	n.	lady	
157119	w	w	w	conj.	and	
# KTU 2.25 5						
157120	tšṣḥq	!t!]š]ṣḥq[	/ṣ-ḥ-q/	vb Š	to laugh	
157121	hn	hn	hn	deictic functor/adv.	behold!	
157122	aṯt	aṯt/	ảṯt	n.	woman	
157123	l	l(I)	l (I)	prep.	to	
157123	l	l(III)	l (III)	functor	certainly	
157124	ˤbd	ˤbd(I)/	ʕbd (I)	n.	servant	
# KTU 2.25 6						
157125	šbˤt	šbˤ(I)/	šbʕ (I)	n. num.	seven	
157126	w	w	w	conj.	and	
157127	nṣp	nṣp/	nṣp	n.	half (a shekel)	
157128	ksp	ksp/	ksp	n.	silver	
# KTU 2.25 7						
157129	ḫtm	ḫt[+m(I)	/ḫ-t(-t)/	vb	to break	
157129	ḫtm	ḫtm/	ḫtm	PN	ḫtm	
157130	rbxxx	rbxxx				DULAT: NOT FOUND
157131	aḥd	aḥd/	ảḥd	adj. num./adv. num.	one	
157131	aḥd	!(ʔ&a!ḥd(y[	/ḥ-d-y/	vb G	to see	
157131	aḥd	aḥd(II)/	ảḥd (II)	subst./adj.	only one	
# KTU 2.25 8						
157132	mġt	mġy[t	/m-ġ-y/	vb G	to come	
157133	xxxxt	xxxxt				DULAT: NOT FOUND
157134	b	b	b	prep.	in	
# KTU 2.25 9						
157135	ġyt	ġyt				DULAT: NOT FOUND
