id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.5 1						
156446	l	l(I)	l (I)	prep.	to	
156446	l	l(III)	l (III)	functor	certainly	
156447	riš	riš(I)/	rỉš (I)	n.	head	
# KTU 2.5 2						
156448	ypt	ypt(I)/	ypt (I)	n.	cow	
156449	ˤṣ	ˤṣ/	ʕṣ	n.	tree	
# KTU 2.5 3						
156450	hp	hp				DULAT: NOT FOUND
156451	šlm	šlm(I)/	šlm (I)	n.	peace	
156451	šlm	šlm[:d	/š-l-m/	vb G/D	to be well	
156451	šlm	šlm(III)/	šlm (III)	adj.	pure	
156452	x	x				
# KTU 2.5 4						
156453	btk	bt(II)/+k	bt (II)	n.	house	
156454	bxm	bxm				DULAT: NOT FOUND
# KTU 2.5 5						
156455	ġyk	ġyk				DULAT: NOT FOUND
# KTU 2.5 6						
156456	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
156456	bˤl	bˤl(I)/	bʕl (I)	n.	labourer	
156456	bˤl	bˤl[/	/b-ʕ-l/	vb G	to make	
# KTU 2.5 7						
156457	ġ	?		?	?	DULAT: NOT FOUND
