#---------------------------- KTU 1.116 1
153990	dbḥ	dbḥ[;dbḥ/	/d-b-ḥ/;dbḥ	vb;n.	to sacrifice;sacrifice	
153991	ˤṯtrlt	ˤṯtrlt				DULAT: NOT FOUND
153992	ḫr	ḫr(I)/;ḫr[	ḫr (I);/ḫ-r(-r)/	n.;vb	cave;to have spasms (of diarrhoea)	
#---------------------------- KTU 1.116 2
153993	qrat	qrat/	qrảt	n.	banquet	
153994	b	b	b	prep.	in	
153995	grn	grn(I)/;grn(II)/	grn (I);grn (II)	n.;adj.	threshing-floor;current	
#---------------------------- KTU 1.116 3
153996	aṯḫlm	aṯḫlm	ảṯḫlm		sacrifice	
153997	ṯuṯkd	ṯuṯkd				DULAT: NOT FOUND
#---------------------------- KTU 1.116 4
153998	agndy	agndy				DULAT: NOT FOUND
153999	mṯdndy	mṯdndy				DULAT: NOT FOUND
#---------------------------- KTU 1.116 5
154000	inmṯy	inmṯy				DULAT: NOT FOUND
154001	inḫzzy	inḫzzy				DULAT: NOT FOUND
#---------------------------- KTU 1.116 6
154002	kzġd	kzġd				DULAT: NOT FOUND
154003	in	in/	ỉn	n.	lack of	
154004	ḫmnd	ḫmn(I)/+d	ḫmn (I),-d	n.,→	chapel,	
#---------------------------- KTU 1.116 7
154005	xxxdnntd	xxxdnntd				DULAT: NOT FOUND
154006	kltd	kly[+d;klt(I)/+d;klt(II)/+d	/k-l-y/,-d;klt (I),-d;klt (II),-d	vb,→;n.,→;n.,→	to finish,;bride,;measure,	
#---------------------------- KTU 1.116 8
154007	nbdgd	nbdgd				DULAT: NOT FOUND
154008	w	w	w	conj.	and	
154009	lbbtm	lbbtm				DULAT: NOT FOUND
#---------------------------- KTU 1.116 9
154010	aṯḫlm	aṯḫlm	ảṯḫlm		sacrifice	
154011	ṯuṯk	ṯuṯk				DULAT: NOT FOUND
154012	tizr	!t!ʔzr[	/ʔ-z-r/	vb	to be girded	
154013	pnm	pnm/	pnm	n.	face	
#---------------------------- KTU 1.116 10
154014	w	w	w	conj.	and	
154015	bbt	bbt(II)/;bbt(I)/	bbt (II);bbt (I)	DN;TN	superintendent;bbt (I)	
154016	aṯḫlm	aṯḫlm	ảṯḫlm		sacrifice	
#---------------------------- KTU 1.116 11
154017	inṯt	inṯt				DULAT: NOT FOUND
154018	ṯlnnṯtm	ṯlnnṯtm				DULAT: NOT FOUND
#---------------------------- KTU 1.116 12
154019	inṯt	inṯt				DULAT: NOT FOUND
154020	atnṯtm	atnṯtm				DULAT: NOT FOUND
#---------------------------- KTU 1.116 13
154021	ild	il(I)/+d	ỉl (I),-d	n.,→	god,	
154022	tṯbd	tṯb/	tṯb	DN	tṯb	
154023	ṯuṯkd	ṯuṯkd				DULAT: NOT FOUND
#---------------------------- KTU 1.116 14
154024	kmrbnd	kmrbnd				DULAT: NOT FOUND
154025	kzġd	kzġd				DULAT: NOT FOUND
154026	iyd	iy+d	ỉy,-d	interr. adv.,→	where?,	
#---------------------------- KTU 1.116 15
154027	aṯtbd	aṯtbd				DULAT: NOT FOUND
154028	in	in/	ỉn	n.	lack of	
154029	ardnd	ardnd				DULAT: NOT FOUND
#---------------------------- KTU 1.116 16
154030	in	in/	ỉn	n.	lack of	
