#---------------------------- KTU 1.132 1
154650	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
154651	tšʿ	tšˤ/	tšʕ	n. num.	nine	
154652	ʿšrh	ˤšrh				DULAT: NOT FOUND
#---------------------------- KTU 1.132 2
154653	trbd	trbd[	/r-b-d/	vb	to (be) prepare(d), get (a bed) ready	
154654	ʿrš	ˤrš/	ʕrš	n.	bed, makeshift bed, stretcher	
154655	pd	pd(I)/	pd (I)	n.	lock (of hair)	
#---------------------------- KTU 1.132 3
154656	ry	ry				DULAT: NOT FOUND
154657	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
154658	bt	bt(I)/;bt(II)/;bt(III)/	bt (I);bt (II);bt (III)	n.;n.;n.	daughter;house, building; residence, home;length, piece	ambiguous DULAT candidates: 4 (showing top 3)
154659	mlk	mlk[;mlk(I);mlk(II)/	/m-l-k/;mlk (I);mlk (II)	vb;;n.	to reign, rule;king, sovereign;kingdom (power and territory)	
#---------------------------- KTU 1.132 4
154660	aṯḫlm	aṯḫlm	ảṯḫlm		sacrifice	
154661	in	in/	ỉn	n.	lack of, absence	
154662	ṯlnd	ṯlnd				DULAT: NOT FOUND
#---------------------------- KTU 1.132 5
154663	gdlt	gdlt(I)/;gdlt(II)/	gdlt (I);gdlt (II)	n.;n.	head of cattle, cow for sacrifice;power, reach	
154664	ḫbtd	ḫbtd(II)/	ḫbt (II)	DN	Bien-amada	
154665	š	š/;š[;š(II)/	š;/š-l-m/;šrt (II)	n.;vb;n.	ram;to be well, do well, be in peace;?	
#---------------------------- KTU 1.132 6
154666	šbrd	šbrd				DULAT: NOT FOUND
154667	gdlt	gdlt(I)/;gdlt(II)/	gdlt (I);gdlt (II)	n.;n.	head of cattle, cow for sacrifice;power, reach	
#---------------------------- KTU 1.132 7
154668	dqtd	dqtd				DULAT: NOT FOUND
154669	gdlt	gdlt(I)/;gdlt(II)/	gdlt (I);gdlt (II)	n.;n.	head of cattle, cow for sacrifice;power, reach	
#---------------------------- KTU 1.132 8
154670	ḫdn	ḫdn				DULAT: NOT FOUND
154671	ḫdlr	ḫdlr				DULAT: NOT FOUND
154672	dqtt	dqtt				DULAT: NOT FOUND
