id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.54 1						
158532	x	?	?	?	?	
158533	tmtt	tmtt/	tmtt	n. f.	group of men	
# KTU 2.54 2						
158534	l	l(I); l(II); l(III)	l (I); l (II); l (III)	prep.; adv.; functor	to; no; certainly	
158535	yṣin	!y!(yṣʔ[	/y-ṣ-ʔ/	vb	to go out	
# KTU 2.54 3						
158536		?	?	?	?	
158537	hm	hm(II)	hm (II)	conj./interr. functor	if	
# KTU 2.54 4						
158538	š	š/	š	n. m.	ram	
158539	skn	skn(I)/	s:śkn (I)	n. m.	prefect	
# KTU 2.54 5						
158540	n	l(I); ˤl(I); mġy[	l (I); ʕl (I); /m-ġ-y/	prep.; prep.; vb	to; upon; to come	
# KTU 2.54 6						
158541	x	?	?	?	?	
# KTU 2.54 7						
158542		?	?	?	?	
# KTU 2.54 8						
158543		?	?	?	?	
# KTU 2.54 9						
158544	xn	?	?	?	?	DULAT: NOT FOUND
# KTU 2.54 10						
158545	x	?	?	?	?	
# KTU 2.54 11						
158546	x	?	?	?	?	
# KTU 2.54 12						
158547	r	rḥb(I)/; pẓr[; rks/	rḥb (I); /p-ẓ-r/; rks	adj. m.; vb; n. m.	wide; to free; belt	
