#---------------------------- KTU 1.117 1
154064	x	x				
#---------------------------- KTU 1.117 2
154065						
154066	nbl	ybl[	/y-b-l/	vb	to carry	
154067	kl	kl/	kl	n.	totality (of)	
#---------------------------- KTU 1.117 3
154068	nynil	nynil				DULAT: NOT FOUND
154069	abh	ab/	ảb	n.	father	
154070	ilmšr	ilmšr				DULAT: NOT FOUND
#---------------------------- KTU 1.117 4
154071	lkw	lkw				DULAT: NOT FOUND
154072	bn	bn(I)/;bn(II);bn[	bn (I);bn (II);/b-n/	n.;prep.;vb	son;between;to understand	
154073	h	ˤl(I);hnd/;aḫt(I)/	ʕl (I);hnd;ảḫt (I)	prep.;dem. adj./pn.;n.	upon;this;sister (related by blood)	
154074	ilt	ilt(I)/	ỉlt (I)	n.	goddess	
#---------------------------- KTU 1.117 5
154075	dt	d	d	det. or rel. functor	the one(s) of	
154076	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
154077	y	y	y	prep. functor	oh!	
154078	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes	
154079	ilm	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.117 6
154080	il	il(I)/	ỉl (I)	n.	god	
154081	mẓll	mẓll/	mẓll	n.	shelter	
154082	bnh	bn(I)/	bn (I)	n.	son	
#---------------------------- KTU 1.117 7
154083	pdry	pdr(I)/+y(I);pdr(I)/+y(II)	pdr (I),-y (I);pdr (I),-y (II)	n.,prep.;n.,postp. functor	town,my;town,yes	
154084	bt	bt(II)/;bt(I)/;bt(III)/	bt (II);bt (I);bt (III)	n.;n.;n.	house;daughter;length	
154085	ar	a/	ả	n.	light	
#---------------------------- KTU 1.117 8
154086	ˤd	ˤd(III)/;ˤd(II)/	ʕd (III);ʕd (II)	n.;n.	throne;time	
154087	mtm	mt(II)/;mt[;mt(I)/	mt (II);/m-t/;mt (I)	n.;vb;n.	death;to die;dead person	
154088	šknt	škn[	/š-k-n/	vb	to be placed	
#---------------------------- KTU 1.117 9
154089	x	x				
154090	ġr	ġr(I)/;ġr(III)/;ġr(V)/	ġr (I);ġr (III);ġr (V)	n.;n.;n.	mountain;skin;total	
154091	ṭlm	ṭl/+m(I);ṭl/+m(II)	ṭl,-m (I);ṭl,-m (II)	n.,morph.;n.,emph. or det. encl. morph.	dew,;dew,und das (ist) so!	
#---------------------------- KTU 1.117 10
154092	ryt	ryt				DULAT: NOT FOUND
154093	aṣṣ	nṣṣ[	/n-ṣ-ṣ/	vb	to take flight	
154094	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes	
154095	nṣ	nṣ(I)/;nsk/	nṣ (I);nsk	n.;n.	bird;caster	
#---------------------------- KTU 1.117 11
154096	m	l(I)	l (I)	prep.	to	
154097	wtˤn	wtˤn				DULAT: NOT FOUND
154098	pdry	pdr(I)/+y(I);pdr(I)/+y(II)	pdr (I),-y (I);pdr (I),-y (II)	n.,prep.;n.,postp. functor	town,my;town,yes	
#---------------------------- KTU 1.117 12
154099	bt	bt(II)/;bt(I)/;bt(III)/	bt (II);bt (I);bt (III)	n.;n.;n.	house;daughter;length	
154100	arx	arx				DULAT: NOT FOUND
154101	ṯbtk	ṯbt/	ṯbt	n.	seat	
#---------------------------- KTU 1.117 13
154102	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
