id	surface form	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.95 1						
151557	mdx	?	?	?	?	DULAT: NOT FOUND
# KTU 1.95 2						
151558	km	k(III); k(I); k(IV)	k (III); k (I); k (IV)	Subordinating or completive functor; prep.; adv.	when; like; thus	
151559	r	rḥb(I)/; pẓr[; rks/	rḥb (I); /p-ẓ-r/; rks	adj. m.; vb; n. m.	wide; to free; belt	
# KTU 1.95 3						
151560	amr	amr(I)/	ảmr (I)	n. m.	order	
151561	x	?	?	?	?	
# KTU 1.95 4						
151562	ḫṭ	ḫṭ/	ḫṭ	n.	sceptre	
151563	ṯkl	ṯkl/	ṯkl	n. m.	sterility	
# KTU 1.95 5						
151564	tlk	hlk[	/h-l-k/	vb	to go	
