id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.27 1						
157183	ˤšt	ˤšt/	ʕšt(y)	n. of card. num.	one	
157184	ˤšr	ˤšr(I)/	ʕšr (I)	n. num.	ten	
157184	ˤšr	ˤšr[:d:pass	/ʕ-š-r/	vb D/Dpass	ʕšr ʕšr b bt ỉlm a banquet is held in the temple of the gods	
157184	ˤšr	ˤšr(I)/	ʕšr(t) (I)	n.	banquet	
# KTU 2.27 2						
157185	kst	kst/	kst	n.	Gewand	
# KTU 2.27 3						
157186	w	w	w	conj.	and	
157187	g	ṯigt/	ṯỉgt	n.	neighing	
# KTU 2.27 4						
157188	rx	rx				DULAT: NOT FOUND
