id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.47 I:1						
158320	tḥm	tḥm/	tḥm	n.	message	
158321	ydn	!y!dn[	/d-n/	vb G	to judge	
158321	ydn	!y!(ydn[	/y-d-n/	vb G	?	
158322	ˤm	ˤm(I)	ʕm (I)	prep.	to	
158323	mlk	mlk[	/m-l-k/	vb G	to reign	
158323	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
# KTU 2.47 I:2						
158324	bˤlh	bˤl(II)/h	bʕl (II)	n./DN	Baʿlu/Baal	
158325	nġr	nġr[	/n-ġ-r/	vb G	to protect	
158326	ḥwtk	ḥwt/+k	ḥwt	n.	country	
# KTU 2.47 I:3						
158327	w	w	w	conj.	and	
158328	l	l(I)	l (I)	prep.	to	
158328	l	l(III)	l (III)	functor	certainly	
158329	anyt	any/	ảny(t)	n.	ship	
158330	tšknn	!t!škn[n:d	/š-k-n/	vb D	to be placed	
# KTU 2.47 I:4						
158331	ḫmšm	ḫmš(I)/m	ḫmš (I)	n. num.	five	
158331	ḫmšm	ḫmšm/	ḫmšm	n. num.	fifty	
158332	l	l(I)	l (I)	prep.	to	
158332	l	l(III)	l (III)	functor	certainly	
158333	mit	mit/	mỉt	n.	a hundred	
158334	any	(ʔ&any[	/ʔ-n-y/	vb G	to sigh	
# KTU 2.47 I:5						
158335	tšknn	!t!škn[n:d	/š-k-n/	vb D	to be placed	
158336	xyh	xyh				DULAT: NOT FOUND
158337	kt	kt(I)/	kt (I)	n.	pitcher	
158337	kt	kt(II)/	kt (II)	n.	stage	
# KTU 2.47 I:6						
158338	w	w	w	conj.	and	
158339	šnmyk	šnmyk	šnmyk	?		
158340	w	w	w	conj.	and	
158341	t	/t, /t=				
158341	t	[t, [t=, [t==, [t===				
# KTU 2.47 I:7						
158342	w	w	w	conj.	and	
158343	ˤprm	ˤpr(I)/m	ʕpr (I)	n.	dust	
158344	arbˤ	arbˤ/	ảrbʕ	num.	four	
158345	mat	mit/	mỉt	n.	a hundred	
# KTU 2.47 I:8						
158346	w	w	w	conj.	and	
158347	mlk	mlk[	/m-l-k/	vb G	to reign	
158347	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
158348	ḥxxdxxt	ḥxxdxxt				DULAT: NOT FOUND
# KTU 2.47 I:9						
158349	xxxb	xxxb				DULAT: NOT FOUND
