#---------------------------- KTU 1.122 1
154354	hw	hw/	hw	pers. pn.	he, it	
154355	nkr	nkr/	nkr	adj.	foreigner / stranger	
154356	nkt	nkt[;nkt/	/n-k-t/;nkt	vb;n.	to immolate;immolation	
#---------------------------- KTU 1.122 2
154357	ytši	ytši[	/n-š-ʔ/	vb	to raise, lift, help up	
154358	lab	lab				DULAT: NOT FOUND
154359	bn	bn[;bn(I)/;bn(II)	/b-n/;bn (I);bn (II)	vb;n.;prep.	to understand;son;between, among	ambiguous DULAT candidates: 5 (showing top 3)
154360	ilytši	ilytši				DULAT: NOT FOUND
154361	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
#---------------------------- KTU 1.122 3
154362	dr	dr/	dr	n.	circle; association, chapter	
154363	bn	bn[;bn(I)/;bn(II)	/b-n/;bn (I);bn (II)	vb;n.;prep.	to understand;son;between, among	ambiguous DULAT candidates: 5 (showing top 3)
154364	il	il(I)/	ỉl (I)	n.	god	
154365	lmpḫrt	lmpḫrt				DULAT: NOT FOUND
#---------------------------- KTU 1.122 4
154366	bn	bn[;bn(I)/;bn(II)	/b-n/;bn (I);bn (II)	vb;n.;prep.	to understand;son;between, among	ambiguous DULAT candidates: 5 (showing top 3)
154367	il	il(I)/	ỉl (I)	n.	god	
154368	lṯkmn	lṯkmn				DULAT: NOT FOUND
154369	wšnm	wšnm				DULAT: NOT FOUND
#---------------------------- KTU 1.122 5
154370	n	n(II)[;n[;n[	-n (II);/g-r(-y)/;/h-b-ṭ/ẓ/	pers. pn., morph., vb;vb;vb	me, to me;to attack;to knock down, hit	ambiguous DULAT candidates: 42 (showing top 3)
#---------------------------- KTU 1.122 6
154371	p	p(I);p(II);p(III)/	p (I);p (II);p (III)	conj. functor;adv.;n.	and;here;mouth, snout	ambiguous DULAT candidates: 4 (showing top 3)
#---------------------------- KTU 1.122 7
154372	m	m(I)/;m[;m[	-k (I);/g-r-š/;/h-p-k/	pers. pn., morph.;vb;vb	your(s);to eject, drive out, evict, cast out;to overturn, alter	ambiguous DULAT candidates: 62 (showing top 3)
#---------------------------- KTU 1.122 8
154373	p	p(I);p(II);p(III)/	p (I);p (II);p (III)	conj. functor;adv.;n.	and;here;mouth, snout	ambiguous DULAT candidates: 4 (showing top 3)
