#---------------------------- KTU 1.65 1
149403	il	il(I)/	ỉl (I)	n.	god	
149404	bn	bn[;bn(I)/;bn(II)	/b-n/;bn (I);bn (II)	vb;n.;prep.	to understand;son;between, among	ambiguous DULAT candidates: 5 (showing top 3)
149405	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 2
149406	dr	dr/	dr	n.	circle; association, chapter	
149407	bn	bn[;bn(I)/;bn(II)	/b-n/;bn (I);bn (II)	vb;n.;prep.	to understand;son;between, among	ambiguous DULAT candidates: 5 (showing top 3)
149408	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 3
149409	mpḫrt	mpḫrt/	mpḫrt	n.	assembly, gathering	
149410	bn	bn[;bn(I)/;bn(II)	/b-n/;bn (I);bn (II)	vb;n.;prep.	to understand;son;between, among	ambiguous DULAT candidates: 5 (showing top 3)
149411	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 4
149412	ṯrmn	ṯrmn(I)/	ṯrmn (I)	DN	…	
149413	wšnm	wšnm				DULAT: NOT FOUND
#---------------------------- KTU 1.65 5
149414	il	il(I)/	ỉl (I)	n.	god	
149415	waṯrt	waṯrt				DULAT: NOT FOUND
#---------------------------- KTU 1.65 6
149416	ḥnn	ḥnn				DULAT: NOT FOUND
149417	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 7
149418	nṣbt	nṣbt/	nṣbt	n.	predilection	
149419	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 8
149420	šlm	šlm[;šlm(I)/;šlm(III)/	/š-l-m/;šlm (I);šlm (III)	vb;n.;adj.	to be well, do well, be in peace;peace;pure	
149421	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 9
149422	il	il(I)/	ỉl (I)	n.	god	
149423	ḫš	ḫš				DULAT: NOT FOUND
149424	il	il(I)/	ỉl (I)	n.	god	
149425	add	add/	hd(d)	DN	Champion	
#---------------------------- KTU 1.65 10
149426	bʿd	bˤd	bʕd	adv., prep.	behind	
149427	ṣpn	ṣpn/	ṣpn	TN, DN	north	
149428	bʿl	bˤl[;bˤl(I)/;bˤl(II)/	/b-ʕ-l/;bʕl (I);bʕl (II)	vb;n.;n., DN	to make, manufacture; to work;labourer, unskilled labourer;lord; owner of (or resident in) a place, owner of thing, boss of a place or thing; person of superior rank	
#---------------------------- KTU 1.65 11
149429	ugrt	ugrt				DULAT: NOT FOUND
#---------------------------- KTU 1.65 12
149430	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149431	mrḥ	mrḥ/	mrḥ	n.	lance, spear	
149432	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 13
149433	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149434	nit	nit/	nỉt	n.	axe	
149435	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 14
149436	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149437	ṣmd	ṣmd[;ṣmd/	/ṣ-m-d/;ṣmd	vb;n.	to harness, yoke;pair	
149438	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 15
149439	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149440	dṯn	dṯn/	dṯn	n.	fat offering	
149441	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 16
149442	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149443	šrp	šrp/	šrp	n.	burnt sacrifice, burnt offering, holocaust	
149444	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 17
149445	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149446	knt	knt/	knt	n.	continuity	
149447	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 18
149448	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149449	ġdyn	ġdyn(I)/	ġdyn (I)	n.	entretien	
149450	il	il(I)/	ỉl (I)	n.	god	
#---------------------------- KTU 1.65 19
149451	b	b;b(II)[;b/	b;/ʕ-r-b/ (II);lb	prep.;vb;n.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among;to give a guarantee or pledge, stand surety for, leave a deposit;heart	ambiguous DULAT candidates: 6 (showing top 3)
149452	ṣdil	ṣdil				DULAT: NOT FOUND
