id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.77 1						
159221	xxxx	xxxx				
159222	x	x				
# KTU 2.77 2						
159223	xxxh	xxxh				DULAT: NOT FOUND
159224	ax	ax				DULAT: NOT FOUND
# KTU 2.77 3						
159225	ˤm	ˤm(I)	ʕm (I)	prep.	to	
159226	mlk	mlk[	/m-l-k/	vb G	to reign	
159226	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
159227	x	x				
# KTU 2.77 4						
159228	mitm	mit/m	mỉt	n. du.	a hundred	
159229	ṯql	ṯql/	ṯql	n.	shekel	
# KTU 2.77 5						
159230	tḥmk	tḥm/+k	tḥm	n.	message	
159231	px	px				DULAT: NOT FOUND
# KTU 2.77 6						
159232	w	w	w	conj.	and	
159233	mlk	mlk[	/m-l-k/	vb G	to reign	
159233	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
159234	bˤly	bˤl(II)/y	bʕl (II)	n./DN	Baʿlu/Baal	
# KTU 2.77 7						
159235	d	d	d	det. or rel. functor	the one(s) of	
159236	rgm	rgm[	/r-g-m/	vb G	to say	
159236	rgm	rgm/	rgm	n.	word	
159237	ly	l(I)+y	l (I)	prep.	to	
159238						
# KTU 2.77 8						
159239	ḥd	ḥdy[	/ḥ-d-y/	vb G	to see	
159240	hlny	hlny	hlny	deictic adv. functor	behold	
159241	px	px				DULAT: NOT FOUND
# KTU 2.77 9						
159242	bnš	bnš/	bnš	n.	man	
159243	bir	bir/	bỉr	TN/n.	biʾiru	
# KTU 2.77 10						
159244	xxxxk	xxxxk				DULAT: NOT FOUND
159245	d	d	d	det. or rel. functor	the one(s) of	
159246	x	x				
# KTU 2.77 11						
159247						
159248	x	x				
# KTU 2.77 12						
159249	xxxkn	xxxkn				DULAT: NOT FOUND
159250	w	w	w	conj.	and	
# KTU 2.77 13						
159251	w	w	w	conj.	and	
159252	ypn	yp/+n	yp	n.	dignity	
159252	ypn	ypn	ypn	?	dignity	
159253	l	l(I)	l (I)	prep.	to	
159253	l	l(III)	l (III)	functor	certainly	
# KTU 2.77 14						
159254	w	w	w	conj.	and	
159255	l	l(I)	l (I)	prep.	to	
159255	l	l(III)	l (III)	functor	certainly	
159256	tˤw	tˤw				DULAT: NOT FOUND
# KTU 2.77 15						
159257	w	w	w	conj.	and	
159258	ḥd	ḥdy[	/ḥ-d-y/	vb G	to see	
159259	ax	ax				DULAT: NOT FOUND
# KTU 2.77 16						
159260	kbd	kbd(II)/	kbd (II)	n.	total (quantity or price)	
159260	kbd	kbd(I)/	kbd (I)	n. f.	liver	
159260	kbd	kbd[:d	/k-b-d/	vb D	to honour	
159261	kx	?		?	?	DULAT: NOT FOUND
# KTU 2.77 17						
159262	ˤmn	ˤm(I)+n	ʕm (I)	prep.	to	
159263	pr	pr(II)/	pr (II)	n.	young bull	
159263	pr	pr(I)/	pr (I)	n.	fruit	
# KTU 2.77 18						
159264	ḥd	ḥdy[	/ḥ-d-y/	vb G	to see	
159265	mlx	mlx				DULAT: NOT FOUND
# KTU 2.77 19						
159266	prḫn	prḫ(II)/+n	prḫ (II)	PN	prḫ (II)	
159266	prḫn	prḫn/	prḫn	PN	flower-like	
# KTU 2.77 20						
159267	xxxx	xxxx				
