#---------------------------- KTU 1.140 1
154904	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes
154905	tld	yld[	/y-l-d/	vb	to give birth (to)
154906	aṯt	aṯt/	ảṯt	n.	woman
#---------------------------- KTU 1.140 2
154907	ḥwt	ḥwt/	ḥwt	n.	country
#---------------------------- KTU 1.140 3
154908	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes
154909	tldaṯt	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.140 4
154910	yˤzz	!y!ˤz[	/ʕ-z(-z)/	vb	to be strong
154911	ˤl	ˤl(I)	ʕl (I)	prep.	upon
#---------------------------- KTU 1.140 5
154912	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes
154913	tld	yld[	/y-l-d/	vb	to give birth (to)
154914	aṯt	aṯt/	ảṯt	n.	woman
#---------------------------- KTU 1.140 6
154915	ḥwt	ḥwt/	ḥwt	n.	country
154916	ib	ib(I)/;ib(II)/	ỉb (I);ỉb (II)	n.;n./DN	enemy;fruit
154917	tḫlq	!t!ḫlq[	/ḫ-l-q/	vb	to perish
#---------------------------- KTU 1.140 7
154918	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes
154919	tld	yld[	/y-l-d/	vb	to give birth (to)
154920	aṯt	aṯt/	ảṯt	n.	woman
#---------------------------- KTU 1.140 8
154921	ˤḏrt	ˤḏrt/	ʕḏrt	n.	help
154922	tkn	!t!kn[	/k-n/	vb	to be (stable)
#---------------------------- KTU 1.140 9
154923	k	k(III);k(I);k(II)	k (III);k (I);k (II)	Subordinating or completive functor;prep.;emph. functor	when;like;yes
154924	tld	yld[	/y-l-d/	vb	to give birth (to)
154925	aṯt	aṯt/	ảṯt	n.	woman
#---------------------------- KTU 1.140 10
154926	mrḥymlkmlkn	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.140 11
154927	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly
154928	ypq	ypq[;!y!pq[	/y-p-q/;/p-q/	vb;vb	to get;to obtain
154929	špḥ	?	?	?	?	DULAT: NOT FOUND
#---------------------------- KTU 1.140 12
154930	bh	b	b	prep.	in
154931	y	y	y	prep. functor	oh!
#---------------------------- KTU 1.140 13
154932	tḥ	ḥw(I)[	/ḥ-w/y-y/ (I)	vb	to live
#---------------------------- KTU 1.140 14
154933	ktld	?	?	?	?	DULAT: NOT FOUND
154934	aṯt	aṯt/	ảṯt	n.	woman
