id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.1 1						
156287	yšlm	!y!šlm[	/š-l-m/	vb G	to be well	
156288	lk	l(I)+k	l (I)	prep.	to	
156289	ilm	il(I)/m	ỉl (I)	n.	god	
# KTU 2.1 2						
156290	tġrk	nġr[k	/n-ġ-r/	vb G	to protect	
156291	tšlmk	!t!šlm[k:d	/š-l-m/	vb D	to be well	
# KTU 2.1 3						
156292	hlny	hlny	hlny	deictic adv. functor	behold	
156293	kll	kll/	kll	n.	totality	
# KTU 2.1 4						
156294	w	w	w	conj.	and	
156295	pdr	pdr(I)/	pdr (I)	n.	town	
# KTU 2.1 5						
156296	tmġyn	!t!mġy[n	/m-ġ-y/	vb G	to come	
# KTU 2.1 6						
156297	w	w	w	conj.	and	
156298	mlix	mlix				DULAT: NOT FOUND
# KTU 2.1 7						
156299	akl	akl(II)/	ảkl (II)	n.	grain	
156300	w	w	w	conj.	and	
156301						
# KTU 2.1 8						
156302	ˤd	ˤd(III)/	ʕd (III)	n.	throne	
156302	ˤd	ˤd(II)/	ʕd (II)	n.	time	
156303	mġy	mġy[	/m-ġ-y/	vb G	to come	
