id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 3.6 1						
161090	x	x				
# KTU 3.6 2						
161091	rḥ	rḥ(I)/	rḥ (I)	n.	wind	
161091	rḥ	rḥ(II)/	rḥ (II)	n.	aroma	
161092	ypḥ	ypḥ/	ypḥ	n.	witness	
# KTU 3.6 3						
161093	ḥmrm	ḥmr(I)/m	ḥmr (I)	n.	donkey	
# KTU 3.6 4						
161094	ˤnm	ˤn(I)/m	ʕn (I)	n. du.	eye	
# KTU 3.6 5						
161095	mqpm	mqb/+m(I)	mqb	n.	punch	
# KTU 3.6 6						
161096	xḥym	xḥym				DULAT: NOT FOUND
# KTU 3.6 7						
161097	mˤṣd	mˤṣd/	mʕṣd	n.	sickle	
# KTU 3.6 8						
161098	kṣn	kṣn				DULAT: NOT FOUND
# KTU 3.6 9						
161099	x	x				
