#---------------------------- KTU 1.88 1
151141	ʿlm	ˤlm(I)/;ˤlm(I);ˤlm(II)	ʕlm (I);ʕl (I);ʕl (II)	n.;prep.;adv.	eternity, perpetuity;upon, on top of;above, on top	ambiguous DULAT candidates: 4 (showing top 3)
151142	w	w	w	conj.	and	
151143	rbb	rbb/	rb(b)	n.	drizzle	
#---------------------------- KTU 1.88 2
151144	šm	šm(I)/;šm/	šm (I);š	n.;n.	name;ram	
151145	bnpš	bnpš				DULAT: NOT FOUND
151146	išt	išt/	ỉšt	n.	fire	
#---------------------------- KTU 1.88 3
151147	w	w	w	conj.	and	
151148	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to, towards, up to;no, not;certainly, undoubtedly, yes	ambiguous DULAT candidates: 7 (showing top 3)
151149	tiklw	tiklw				DULAT: NOT FOUND
151150	ltšt	ltšt				DULAT: NOT FOUND
