id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 3.34 1						
162197	r	?	?	?	?	
# KTU 3.34 2						
162198	ˤrb	ˤrb(I)[	/ʕ-r-b/ (I)	vb G	to enter	
162198	ˤrb	ˤrb(II)[	/ʕ-r-b/ (II)	vb G	to give a guarantee or pledge	
162198	ˤrb	ˤrb(I)/	ʕrb (I)	n.	entry	
# KTU 3.34 3						
162199	šm	š/m	š	n. du.	ram	
162199	šm	šm(I)/	šm (I)	n.	name	
162200	d	d	d	det. or rel. functor	the one(s) of	
162201	x	x				
# KTU 3.34 4						
162202	ribḫ	ribḫ				DULAT: NOT FOUND
# KTU 3.34 5						
162203	rtx	rtx				DULAT: NOT FOUND
