id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 3.9 1						
161189	mrzḥ	mrzḥ/	mrzḥ	n.	cultic association	
# KTU 3.9 2						
161190	d	d	d	det. or rel. functor	the one(s) of	
161191	qny	qny[	/q-n-y/	vb G	to acquire	
# KTU 3.9 3						
161192	šmmn	šm(m(I)/m+n	šmm (I)	n. pl. tant.	heavens	
161192	šmmn	šmmn/	šmmn	PN	šmmn	
# KTU 3.9 4						
161193	b	b	b	prep.	in	
161194	btw	bt(II)/	bt (II)	n.	house	
# KTU 3.9 5						
161195	w	w	w	conj.	and	
161196	št	št[:pass	/š-t/	vb G/Gpass	to place	
161197	ibsn	ibsn/	ỉbsn	n.	warehouse	
# KTU 3.9 6						
161198	lwkm	lwkm				DULAT: NOT FOUND
161199	wkm	w+km	w	conj.	and	
161200	ag	ag				DULAT: NOT FOUND
# KTU 3.9 7						
161201	rškm	rš[+km	/r-š(-š)/	vb	to be ruined	
# KTU 3.9 8						
161202	b	b	b	prep.	in	
161203	bty	bt(II)/+y	bt (II)	n.	house	
# KTU 3.9 9						
161204	ksp	ksp/	ksp	n.	silver	
161205	ḫmšm	ḫmš(I)/m	ḫmš (I)	n. num.	five	
161205	ḫmšm	ḫmšm/	ḫmšm	n. num.	fifty	
# KTU 3.9 10						
161206	isˤ	isˤ				DULAT: NOT FOUND
# KTU 3.9 11						
161207	w	w	w	conj.	and	
161208	šm	š/m	š	n. du.	ram	
161208	šm	šm(I)/	šm (I)	n.	name	
161209	mn	mn(IV)	mn (IV)	?	?	
161209	mn	mn(III)/	mn (III)	n.	mina	
# KTU 3.9 12						
161210	rb	rb(II)/	rb (II)	n.	chief	
161210	rb	rb(I)/	rb (I)	adj.	great	
161210	rb	rb/	rb(b)	n.	drizzle	
161211	al	al(I)	ảl (I)	neg. functor	no	
161211	al	al(II)	ảl (II)	pos. functor	surely	
161212	ydd	ydd(I)/	ydd (I)	adj.	loved	
# KTU 3.9 13						
161213	mt	mt(II)/	mt (II)	n.	death	
161213	mt	mt[	/m-t/	vb G	to die	
161213	mt	mt(III)/	mt (III)	n.	man	
161214	mrzḥ	mrzḥ/	mrzḥ	n.	cultic association	
# KTU 3.9 14						
161215	w	w	w	conj.	and	
161216	yrgm	!y!rgm[:pass	/r-g-m/	vb Gpass	to say	
161217	l	l(I)	l (I)	prep.	to	
161217	l	l(III)	l (III)	functor	certainly	
# KTU 3.9 15						
161218	šmmn	šm(m(I)/m+n	šmm (I)	n. pl. tant.	heavens	
161218	šmmn	šmmn/	šmmn	PN	šmmn	
161219	tn	(ytn[	/y-t-n/	vb	give	
161219	tn	(ytn[/	/y-t-n/	vb	give	
# KTU 3.9 16						
161220	ksp	ksp/	ksp	n.	silver	
161221	ṯql	ṯql/	ṯql	n.	shekel	
161222	dˤmnk	dˤmnk				DULAT: NOT FOUND
# KTU 3.9 17						
161223	ṯqlm	ṯql/+m(I)	ṯql	n.	shekel	
161224	ysˤ	nsˤ(I)[	/n-s-ʕ/ (I)	vb G	to pull out	
# KTU 3.9 18						
161225	ypḥ	ypḥ/	ypḥ	n.	witness	
161226	iḫršp	iḫršp				DULAT: NOT FOUND
# KTU 3.9 19						
161227	bn	bn(I)/	bn (I)	n.	son	
161227	bn	bn(II)	bn (II)	prep.	between	
161227	bn	bn[	/b-n/	vb G	to understand	
161228	uḏrnn	uḏr(I)/+nn	ủḏr (I)	n.	express messenger, ?	
# KTU 3.9 20						
161229	w	w	w	conj.	and	
161230	ˤbdn	ˤbd(I)/+n	ʕbd (I)	n.	servant	
# KTU 3.9 21						
161231	bn	bn(I)/	bn (I)	n.	son	
161231	bn	bn(II)	bn (II)	prep.	between	
161231	bn	bn[	/b-n/	vb G	to understand	
161232	sgld	sgld/	sgld	PN	sgld	
