id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 1.1 II:1						
135544	ḥšk	ḥšk[	/ḥ-š-k/	vb G	to seize	
135545	ˤṣk	ˤṣ/+k	ʕṣ	n.	tree	
135546	ˤbṣk	ˤbṣ(I)/+k	ʕbṣ (I)	n.	mace	
135547	ˤmy	ˤm(I)+y	ʕm (I)	prep.	to	
135548	pˤnk	pˤn/+k	pʕn	n.	foot	
# KTU 1.1 II:2						
135549	tlsmn	!t!lsm[n	/l-s-m/	vb G	to run	
135550	ˤmy	ˤm(I)+y	ʕm (I)	prep.	to	
135551	twtḥ	!t!w]t]ḥ(y[	/w-ḥ-y/	vb Gt	to hasten	
135552	išdk	išd/+k	ỉšd	n.	leg	
# KTU 1.1 II:3						
135553	tk	tk/	tk	n.	centre	
135554	ḫršnr	ḫršn&r/	ḫršn (I)	n. m.	(divine) mountain	UDB: [tk . ḫršn ----]r . [-] ḥmk . w št.
135555	tḥmk	tḥm/+k	tḥm	n.	message	
135556	w	w	w	conj.	and	
135557	št	št[:pass	/š-t/	vb G/Gpass	to place	
# KTU 1.1 II:4						
135558	l	l(I)	l (I)	prep.	to	
135559	ẓr	ẓr(I)/	ẓr (I)	n. m.	upon	
135560	rdyk	rdy+k	rdy	?	harass	
# KTU 1.1 II:5						
135561	iqnim	iqn(u&i/m	ỉqnủ	n.	gem of lapis lazuli	
# KTU 1.1 II:6						
135562	yšu	!y!(nš(ʔ[&u	/n-š-ʔ/	vb G	to raise	
135563	b	b	b	prep.	in	
135564	qrb	qrb[	/q-r-b/	vb G	to approach	
135564	qrb	qrb/	qrb	n.	inside	
# KTU 1.1 II:7						
135565	x	x				
135566	asr	asr/	ảsr	n.	prisoner	
135566	asr	(ʔ&asr[	/ʔ-s-r/	vb G	to tie	
# KTU 1.1 II:8						
135567	tm	mtnt/	mtnt	n. du.	loin	
135567	tm	tm/	tm	adj.	complete	
135568	ymtm	!y!mt[m	/m-t/	vb G	to die	
# KTU 1.1 II:9						
135569	npšh	npš(I)/+h	npš (I)	n.	throat	
135570	w	w	w	conj.	and	
135571	iṯl	iṯl/	ỉṯl	n.	saliva	
# KTU 1.1 II:10						
135572	ḥršm	ḥrš(I)/m	ḥrš (I)	n.	craftsman	
135573	ˤdb	ˤdb[	/ʕ-d-b/	vb G	to leave > to put in	
135574	l	l(I)	l (I)	prep.	to	
