id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 1.119 1						
154143	b	b	b	prep.	in	
154144	yrḫ	yrḫ/	yrḫ	n.	moon	
154145	ibˤlt	ibˤlt/	ỉbʕlt	MN	where-is-the- Mistress?	
154146	b	b	b	prep.	in	
154147	ym	ym(I)/	ym (I)	n.	day	
154147	ym	ym(II)/	ym (II)	n.	sea	
154148	šbˤ	šbˤ(I)/	šbʕ (I)	n. num.	seven	
# KTU 1.119 2						
154149	š	š/	š	n.	ram	
154150	l	l(I)	l (I)	prep.	to	
154151	bˤl	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
154152	rˤkt	rˤkt	rʕkt		élément de théonyme composé (?)	
154153	bxx	bxx				DULAT: NOT FOUND
154154	xxx	xxx				
154155	xx	xx				
# KTU 1.119 3						
154156	w	w	w	conj.	and	
154157	bt	bt(II)/	bt (II)	n.	house	
154157	bt	bt(I)/	bt (I)	n.	daughter	
154158	bˤl	bˤl(II)/	bʕl (II)	DN	Baʿlu/Baal	
154159	ugrt	ugrt/	ủgrt	TN	Ugarit	
154160	xx	xx				
154161	šxxy	šxxy				DULAT: NOT FOUND
# KTU 1.119 4						
154162	ˤrb	ˤrb(I)[	/ʕ-r-b/ (I)	vb G	to enter	
154162	ˤrb	ˤrb(II)[	/ʕ-r-b/ (II)	vb G	to give a guarantee or pledge	
154162	ˤrb	ˤrb(I)/	ʕrb (I)	n.	entry	
154163	špš	špš/	špš	n.	sun	
154164	w	w	w	conj.	and	
154165	ḥl	ḥl(I)/	ḥl (I)	n.	strength	
154165	ḥl	ḥl(II)/	ḥl (II)	adj.	desacralised	
154166	mlk	mlk[	/m-l-k/	vb G	to reign	
154166	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
154167	b	b	b	prep.	in	
154168	šbˤt	šbˤ(I)/	šbʕ (I)	n. num.	seven	
# KTU 1.119 5						
154169	ˤšrt	ˤšr(I)/	ʕšr(t) (I)	n.	banquet	
154169	ˤšrt	ˤšrt(II)/	ʕšrt (II)	n.	group of ten	
154170	yrtḥṣ	!y!r]t]ḥṣ[	/r-ḥ-ṣ/	vb Gt	to wash	
154171	mlk	mlk[	/m-l-k/	vb G	to reign	
154171	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
154172	brr	brr/	brr	adj.	pure	
# KTU 1.119 6						
