#---------------------------- KTU 1.19 I:1
145542	laqht	laqht				DULAT: NOT FOUND
#---------------------------- KTU 1.19 I:2
145543	tkrb	!t!krb[	/k-r-b/	vb	?	
145544	xxxxxxx	xxxxxxx				
145545	l	l(I);l(II);l(III)	l (I);l (II);l (III)	prep.;adv.;functor	to;no;certainly	
145546	qrb	qrb[;qrb/	/q-r-b/;qrb	vb;n.	to approach;inside	
145547	qmdym	qmdym				DULAT: NOT FOUND
#---------------------------- KTU 1.19 I:3
145548	tql	!t!ql[	/q-l/	vb	to fall (down)	
145549	ˤnt	ˤnt(I)/;ˤnt(II);ˤn(I)/	ʕnt (I);ʕnt (II);ʕn (I)	DN;adv.;n.	sister;now;eye	
145550	xxxxxxxlb	xxxxxxxlb				DULAT: NOT FOUND
145551	tṯbr	!t!ṯbr[	/ṯ-b-r/	vb	to break	
#---------------------------- KTU 1.19 I:4
145552	qšt	qšt/	qšt	n.	bow	
145553	wxxxxnr	wxxxxnr				DULAT: NOT FOUND
145554	yṯbr	!y!ṯbr[	/ṯ-b-r/	vb	to break	
#---------------------------- KTU 1.19 I:5
145555	ṯmn	ṯmn(I)/	ṯmn(y) (I)	num.	eight	
145556	xxxx	xxxx				
145557	btlt	btlt/	btlt	n.	virgin	
145558	ˤnt	ˤnt(I)/;ˤnt(II);ˤn(I)/	ʕnt (I);ʕnt (II);ʕn (I)	DN;adv.;n.	sister;now;eye	
#---------------------------- KTU 1.19 I:6
145559	tṯb	tṯb/;!t!ṯb[;yṯb[	tṯb;/ṯ-b/;/y-ṯ-b/	DN;vb;vb	tṯb;to return;to sit down	
145560	xxxxxxša	xxxxxxša				DULAT: NOT FOUND
#---------------------------- KTU 1.19 I:7
145561	tlm	tlm/	tlm	n.	furrow	
145562	k	k(I);k(III);k(II)	k (I);k (III);k (II)	prep.;Subordinating or completive functor;emph. functor	like;when;yes	
145563	mr	mr(I)/;mr(IV)/;mr(II)/	mr (I);mr (IV);mr (II)	n.;adj.;adj.	myrrh;valiant;bitter	
145564	xxh	xxh				DULAT: NOT FOUND
145565	ydh	yd(I)/	yd (I)	n.	hand	
145566	k	k(I);k(III);k(II)	k (I);k (III);k (II)	prep.;Subordinating or completive functor;emph. functor	like;when;yes	
145567	šr	šr(II)/;šr(III)/;šr(I)[	šr (II);šr (III);/š-r/ (I)	n.;n.;vb	musician;Prince;to sing	
#---------------------------- KTU 1.19 I:8
145568	knr	knr/	knr	n.	harp	
145569	uṣbˤhth	uṣbˤhth				DULAT: NOT FOUND
