id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 1.97 1						
151625	w	w	w	conj.	and	
151626	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G	to pour (out)	
151627	b	b	b	prep.	in	
151628	aph	ap(I)+h	ảp (I)	adv./conj.	also	
151628	aph	ap(II)/+h	ảp (II)	n.	nose	
# KTU 1.97 2						
151629	k	k(III)	k (III)	Subordinating or completive functor	when	
151630	yiḫd	ʔḫd[d:pass	/ʔ-ḫ-d(/ḏ)/	vb G/Gpass	to collect	
151631	akl	akl(II)/	ảkl (II)	n.	grain	
151632	śśw	ss/	s:śs/św	n. f.	horse	
151633	xxxxx	xxxxx				
# KTU 1.97 3						
151634	w	w	w	conj.	and	
151635	št	št[:pass	/š-t/	vb G/Gpass	to place	
151635	št	št(II)/	št (II)	n.	raíz	
151635	št	št(I)/	št (I)	n.	base	
151636	mkšr	mkšr/	mkšr	n.	semolina	
151637	grn	grn(I)/	grn (I)	n.	threshing-floor	
151637	grn	grn(II)/	grn (II)	adj.	current	
151638	xxx	xxx				
# KTU 1.97 4						
151639	arġn	arġn				DULAT: NOT FOUND
151640	ḥmr	ḥmr(I)/	ḥmr (I)	n.	donkey	
151640	ḥmr	ḥmr(II)/	ḥmr (II)	adj.	red	
151641	tdk	ndd[+k	/n-d-d/	vb	to go	
151641	tdk	ydy(I)[+k	/y-d-y/ (I)	vb	to throw	
151641	tdk	nd[+k	/n-d(-y)/	vb	to throw	
151642	xxxx	xxxx				
# KTU 1.97 5						
151643	w	w	w	conj.	and	
151644	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G	to pour (out)	
151645	b	b	b	prep.	in	
151646	aph	ap(I)+h	ảp (I)	adv./conj.	also	
151646	aph	ap(II)/+h	ảp (II)	n.	nose	
# KTU 1.97 6						
151647	k	k(III)	k (III)	Subordinating or completive functor	when	
151648	yraš	rʔš[š	/r-ʔ-š/	vb G	to toss the head	
151649	śśw	ss/	s:śs/św	n. f.	horse	
151650	xxxxxxx	xxxxxxx				
# KTU 1.97 7						
151651	ydk	yd(I)/+k	yd (I)	n. f.	hand	
151651	ydk	yd(I)/+k=	yd (I)	n. f.	hand	
151651	ydk	yd(II)/+k	yd (II)	n. m.	love	
151651	ydk	yd(II)/+k=	yd (II)	n. m.	love	
151651	ydk	!y!dk[:pass	d-k(-k)/	vb Gpass	to be pounded	
151651	ydk	!y=!dk[:pass	d-k(-k)/	vb Gpass	to be pounded	
151652	yṣq	!y!(yṣq[	/y-ṣ-q/	vb G	to pour (out)	
151653	b	b	b	prep.	in	
151654	aph	ap(I)+h	ảp (I)	adv./conj.	also	
151654	aph	ap(II)/+h	ảp (II)	n.	nose	
# KTU 1.97 8						
151655	xxxkṣ	xxxkṣ				DULAT: NOT FOUND
151656	śśw	ss/	s:śs/św	n. f.	horse	
151657	xxxxx	xxxxx				
# KTU 1.97 9						
151658	xxxxx	xxxxx				
151659	xxxxx	xxxxx				
# KTU 1.97 10						
151660	xx	xx				
# KTU 1.97 11						
151661	k	k(III)	k (III)	Subordinating or completive functor	when	
151662	ygˤr	!y!gˤr[	/g-ʕ-r/	vb G	to reproach	
151663	śśw	ss/	s:śs/św	n. f.	horse	
# KTU 1.97 12						
151664	pr	pr(II)/	pr (II)	n.	young bull	
151664	pr	pr(I)/	pr (I)	n.	fruit	
151665	ˤṯrb	ˤṯrb/	ʕṯrb	n.	arbrisseau semblable au grenadier	
151666	drˤ	d/	d/ḏrʕ	n.	seed	
151666	drˤ	drˤ[	/d-r-ʕ/	vb G	to sow	
151667	xxxxxx	xxxxxx				
# KTU 1.97 13						
151668	w	w	w	conj.	and	
151669	tmṯl	tmṯl/	tmṯl	n.	equal amount	
151670	ld	yld[	/y-l-d/	vb G	to give birth (to)	
151671	xxxxxxxxxx	xxxxxxxxxx				
# KTU 1.97 14						
151672	mġmġ	mġmġ/	mġmġ	n.		
151673	w	w	w	conj.	and	
151674	št	št[:pass	/š-t/	vb G/Gpass	to place	
151674	št	št(II)/	št (II)	n.	raíz	
151674	št	št(I)/	št (I)	n.	base	
151675	nni	nn(u(I)/&i	nnủ (I)	n.	Ammi	
151676	xxxxxxxx	xxxxxxxx				
# KTU 1.97 15						
151677	ˤqrb	ˤqrb/	ʕqrb	n.	scorpion	
151678	w	w	w	conj.	and	
151679	mġmġ	mġmġ/	mġmġ	n.		
151680	pr	pr(II)/	pr (II)	n.	young bull	
151680	pr	pr(I)/	pr (I)	n.	fruit	
151681	xxxxxx	xxxxxx				
# KTU 1.97 16						
151682	xxx	xxx				
151683	arġn	arġn				DULAT: NOT FOUND
151684	ḥmr	ḥmr(I)/	ḥmr (I)	n.	donkey	
151684	ḥmr	ḥmr(II)/	ḥmr (II)	adj.	red	
151685	xxxxxxxx	xxxxxxxx				
# KTU 1.97 17						
151686	x	x				
