id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.67 1						
158776	tḥm	tḥm/	tḥm	n.	message	
158777	uṯryn	uṯryn/	ủṯryn	n.	crown prince	
# KTU 2.67 2						
158778	l	l(I)	l (I)	prep.	to	
158778	l	l(III)	l (III)	functor	certainly	
158779	grgš	grgš				DULAT: NOT FOUND
158780	ˤbdy	ˤbd(I)/+y	ʕbd (I)	n.	servant	
158780	ˤbdy	ˤbd[+y	/ʕ-b-d/	vb	to work (a field)	
158780	ˤbdy	ˤbdy/	ʕbdy	PN	ʿbdy	
158781	rgm	rgm[	/r-g-m/	vb G	to say	
158781	rgm	rgm/	rgm	n.	word	
# KTU 2.67 3						
158782	šlm	šlm(I)/	šlm (I)	n.	peace	
158782	šlm	šlm[:d	/š-l-m/	vb G/D	to be well	
158782	šlm	šlm(III)/	šlm (III)	adj.	pure	
158783	lk	l(I)+k	l (I)	prep.	to	
# KTU 2.67 4						
158784	hlny	hlny	hlny	deictic adv. functor	behold	
158785	aḫy	aḫ(I)/+y	ảḫ (I)	n.	brother (by blood)	
# KTU 2.67 5						
158786	xxx	xxx				
