id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
# KTU 3.4 1						
160977	l	l(I)	l (I)	prep.	to	
160977	l	l(III)	l (III)	functor	certainly	
160978	ym	ym(I)/	ym (I)	n.	day	
160978	ym	ym(II)/	ym (II)	n.	sea	
160979	hnd	hnd	hnd	dem. adj./pn.	this	
# KTU 3.4 2						
160980	iwrkl	iwrkl/	ỉwrkl	PN	ỉwrkl	
160981	pdy	pdy[	/p-d-y/	vb G	to redeem	
# KTU 3.4 3						
160982	agdn	agdn				DULAT: NOT FOUND
160983	bn	bn(I)/	bn (I)	n.	son	
160983	bn	bn(II)	bn (II)	prep.	between	
160983	bn	bn[	/b-n/	vb G	to understand	
160984	nwgn	nwgn/	nwgn	PN	nwgn	
# KTU 3.4 4						
160985	w	w	w	conj.	and	
160986	ynḥm	ynḥm/	ynḥm	PN	ynḥm	
160987	aḫh	aḫ(I)/+h	ảḫ (I)	n.	brother (by blood)	
# KTU 3.4 5						
160988	w	w	w	conj.	and	
160989	bˤln	bˤl(II)/	bʕl (II)	n./DN	Baʿlu/Baal	
160990	aḫh	aḫ(I)/+h	ảḫ (I)	n.	brother (by blood)	
# KTU 3.4 6						
160991	w	w	w	conj.	and	
160992	ḥṯtṯn	ḥṯtṯn				DULAT: NOT FOUND
160993	bnh	bn(I)/+h	bn (I)	n.	son	
# KTU 3.4 7						
160994	w	w	w	conj.	and	
160995	btšy	btšy/	btšy	PN	btšy	
160996	bth	bt(II)/+h	bt (II)	n.	house	
160996	bth	bt(I)/h	bt (I)	n.	daughter	
# KTU 3.4 8						
160997	w	w	w	conj.	and	
160998	ištrmy	ištrmy/	ỉštrmy	PN	ỉštrmy	
# KTU 3.4 9						
160999	bt	bt(II)/	bt (II)	n.	house	
160999	bt	bt(I)/	bt (I)	n.	daughter	
160999	bt	bt(III)/	bt (III)	n.	length	
161000	ˤbdmlk	ˤbdmlk/	ʕbdmlk	PN	ʿbdmlk	
161001	aṯth	aṯt/+h	ảṯt	n.	woman	
# KTU 3.4 10						
161002	w	w	w	conj.	and	
161003	sntb	sntb				DULAT: NOT FOUND
# KTU 3.4 11						
161004	bt	bt(II)/	bt (II)	n.	house	
161004	bt	bt(I)/	bt (I)	n.	daughter	
161004	bt	bt(III)/	bt (III)	n.	length	
161005	ugrt	ugrt/	ủgrt	TN	Ugarit	
# KTU 3.4 12						
161006	w	w	w	conj.	and	
161007	pdy	pdy[	/p-d-y/	vb G	to redeem	
161008	hm	hm(II)	hm (II)	conj./interr. functor	if	
161008	hm	hm(I)	hm (I)	pers. pn.	they	
# KTU 3.4 13						
161009	iwrkl	iwrkl/	ỉwrkl	PN	ỉwrkl	
161010	mit	mit/	mỉt	n.	a hundred	
# KTU 3.4 14						
161011	ksp	ksp/	ksp	n.	silver	
161012	b	b	b	prep.	in	
161013	yd	yd(I)/	yd (I)	n.	hand	
# KTU 3.4 15						
161014	birtym	birty/	bỉrty	GN	bỉrty	
# KTU 3.4 16						
161015	w	w	w	conj.	and	
161016	unṯ	unṯ/	ủnṯ	n.	obligation	
161017	inn	in/	ỉn	n.	lack of	
# KTU 3.4 17						
161018	lhm	l(I)+hm	l (I)	prep.	to	
161019	ˤd	ˤd(III)/	ʕd (III)	n.	throne	
161019	ˤd	ˤd(II)/	ʕd (II)	n.	time	
161020	tṯṯbn	]š]ṯb[ṯbn	/ṯ-b/	vb Š	to return	
# KTU 3.4 18						
161021	ksp	ksp/	ksp	n.	silver	
161022	iwrkl	iwrkl/	ỉwrkl	PN	ỉwrkl	
# KTU 3.4 19						
161023	w	w	w	conj.	and	
161024	ṯb	ṯb[	/ṯ-b/	vb G	to return	
161025	l	l(I)	l (I)	prep.	to	
161025	l	l(III)	l (III)	functor	certainly	
161026	unṯhm	unṯ/	ủnṯ	n.	obligation	
