id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.109 1						
160665	tḥmxxxxxx	tḥmxxxxxx				DULAT: NOT FOUND
# KTU 2.109 2						
160666	l	l(I)	l (I)	prep.	to	
160666	l	l(III)	l (III)	functor	certainly	
160667	x	x				
# KTU 2.109 3						
160668	rgm	rgm[	/r-g-m/	vb G	to say	
160668	rgm	rgm/	rgm	n.	word	
# KTU 2.109 4						
160669	x	x				
# KTU 2.109 5						
160670	xxx	xxx				
160671	xx	xx				
160672	ax	ax				DULAT: NOT FOUND
# KTU 2.109 6						
160673	ḫpn	ḫpn(I)/	ḫpn (I)	n.	Gewand	
160674	ḥtṯ	ḥtṯ/	ḥtṯ	n.	silver	
# KTU 2.109 7						
160675	w	w	w	conj.	and	
160676	kbl	kbd(II)/	kbd (II)	n.	total (quantity or price)	
160676	kbl	kbl(I)/	kbl (I)	n.	leggings	
160677	xbr	xbr				DULAT: NOT FOUND
# KTU 2.109 8						
160678	bd	b	b	prep.	in	
160679	yšn	!y!(yšn[	/y-š-n/	vb G	to sleep	
160680	štn	št[n	/š-t/	vb G	to place	
