#---------------------------- KTU 1.159 1
155100	xn	xn				DULAT: NOT FOUND
#---------------------------- KTU 1.159 2
155101	xm	xm				DULAT: NOT FOUND
155102	ax	ax				DULAT: NOT FOUND
#---------------------------- KTU 1.159 3
155103	lm	lm(II)/;lm[;lm(I)	lm (II);/š-l-m/;l (I)	interr. pn.;vb;prep.	why?, what for?;to be well, do well, be in peace;to, towards, up to	
155104	nlx	nlx				DULAT: NOT FOUND
#---------------------------- KTU 1.159 4
155105	x	x				
155106	ʿṯtr	ˤṯtr				DULAT: NOT FOUND
#---------------------------- KTU 1.159 5
155107	ht	ht	ht	adv.	here	
