#---------------------------- KTU 1.57 1
149312	ltm	ltm				DULAT: NOT FOUND
149313	r	r[;r[;r/	/p-ẓ-r/;/ġ-t-r/;rks	vb;vb;n.	to free, loosen;to implore, intercede, ask;belt	ambiguous DULAT candidates: 4 (showing top 3)
#---------------------------- KTU 1.57 2
149314	x	x				
149315	arbʿt	arbˤt/	ảrbʕ	num.	four	
#---------------------------- KTU 1.57 3
149316	qdš	qdš(I)/;qdš(II)/	qdš (I);qdš (II)	adj.;n.	holy;sanctuary	
#---------------------------- KTU 1.57 4
149317	kšu	kšu				DULAT: NOT FOUND
149318	pš	pš				DULAT: NOT FOUND
#---------------------------- KTU 1.57 5
149319	x	x				
149320	ksa	ksa				DULAT: NOT FOUND
#---------------------------- KTU 1.57 6
149321	bʿlt	bˤlt/	bʕlt	n.	lady	
149322	bhtm	bhtm(II)/	bt (II)	n.	house, building; residence, home	
#---------------------------- KTU 1.57 7
149323						
149324	by	by	b	prep.	in; through, on; by, at; within, inside, in, to, against, between, upon; from; with, in; of, from among	
149325	x	x				
#---------------------------- KTU 1.57 8
149326	x	x				
149327	nn	nn[;nn[	/g-r(-y)/;/g-r-š/	vb;vb	to attack;to eject, drive out, evict, cast out	
#---------------------------- KTU 1.57 9
149328	x	x				
149329	mgx	mgx				DULAT: NOT FOUND
#---------------------------- KTU 1.57 10
149330	x	x				
