id	surface form	morphological parsing	DULAT	POS	gloss	comments
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
id	surface form	surface form				DULAT: NOT FOUND
# KTU 2.57 1						
158570	mxxg	mxxg				DULAT: NOT FOUND
# KTU 2.57 2						
158571	txdtxx	txdtxx				DULAT: NOT FOUND
158572	ˤbd	ˤbd(I)/	ʕbd (I)	n.	servant	
# KTU 2.57 3						
158573	mxx	mxx				DULAT: NOT FOUND
158574	yṯx	yṯx				DULAT: NOT FOUND
# KTU 2.57 4						
158575	xlk	xlk				DULAT: NOT FOUND
158576	mlk	mlk[	/m-l-k/	vb G	to reign	
158576	mlk	mlk(II)/	mlk (II)	n.	kingdom (power and territory)	
# KTU 2.57 5						
158577	x	x				
158578	dq	dq(I)/	dq (I)	adj.	tiny	
158579	d	d	d	det. or rel. functor	the one(s) of	
158580	b	b	b	prep.	in	
# KTU 2.57 6						
158581	xlxx	xlxx				DULAT: NOT FOUND
# KTU 2.57 7						
158582	x	x				
# KTU 2.57 8						
158583	yxx	yxx				DULAT: NOT FOUND
# KTU 2.57 9						
158584	xmšxdt	xmšxdt				DULAT: NOT FOUND
# KTU 2.57 10						
158585	bxxxxax	bxxxxax				DULAT: NOT FOUND
# KTU 2.57 11						
158586	k	+k	-k (I)			
158586	k	~k	-k (II)			
158586	k	k(III)	k (III)	Subordinating or completive functor	when	
158586	k	k(I)	k (I)	prep.	like	
158586	k	k(II)	k (II)	emph. functor	yes	
158587	yšixx	yšixx				DULAT: NOT FOUND
# KTU 2.57 12						
158588	rgm	rgm[	/r-g-m/	vb G	to say	
158588	rgm	rgm/	rgm	n.	word	
158589	yṯṯbx	yṯṯbx				DULAT: NOT FOUND
# KTU 2.57 13						
158590	w	w	w	conj.	and	
158591	xxx	xxx				
